TRUE_STRAIN,TRUE_STRESS,PLASTIC_STRAIN
0.0037,417.91526456713143,0.0
0.0038,419.8429122703169,8.421390424422212e-05
0.0039000000000000003,421.77055997350243,0.0001684278084884438
0.004,423.6982076766879,0.0002526417127326659
0.0041,425.62585537987337,0.00033685561697688847
0.004200000000000001,427.5535030830589,0.00042106952122111015
0.0043,429.48115078624437,0.0005052834254653318
0.0044,430.83137186016586,0.0005942260527259198
0.0045000000000000005,432.1400423238884,0.0006835089506232153
0.0046,433.44871278761093,0.0007727918485205105
0.0047,434.75738325133347,0.0008620747464178065
0.0048000000000000004,436.06605371505606,0.000951357644315102
0.0049,437.3747241787786,0.0010406405422123972
0.005,438.6833946425011,0.0011299234401096932
0.0051,439.8578177447917,0.0012203057306496502
0.005200000000000001,440.7737946263208,0.0013128045162223451
0.0053,441.6897715078499,0.0014053033017950392
0.0054,442.605748389379,0.0014978020873677336
0.0055000000000000005,443.5217252709081,0.0015903008729404285
0.0056,444.4377021524372,0.0016827996585131225
0.0057,445.35367903396633,0.001775298444085817
0.0058000000000000005,446.26965591549543,0.0018677972296585119
0.0059,447.18563279702454,0.0019602960152312054
0.006,448.03433161601885,0.0020533457614050946
0.0061,448.82807370107895,0.0021468455650572645
0.006200000000000001,449.6218157861391,0.002240345368709434
0.0063,450.4155578711992,0.002333845172361603
0.0064,451.2092999562593,0.002427344976013773
0.006500000000000001,452.0030420413195,0.002520844779665943
0.0066,452.7967841263796,0.002614344583318112
0.0067,453.5905262114397,0.002707844386970282
0.0068000000000000005,454.3452878780695,0.0028016634131738153
0.006900000000000001,455.0013524087441,0.0028962907003663436
0.007,455.6574169394187,0.002990917987558871
0.0071,456.3134814700933,0.003085545274751399
0.007200000000000001,456.9695460007679,0.0031801725619439274
0.0073,457.6256105314425,0.003274799849136455
0.0074,458.2816750621171,0.0033694271363289828
0.007500000000000001,458.9377395927917,0.003464054423521511
0.0076,459.59380412346627,0.0035586817107140386
0.0077,460.21055103419144,0.0036536309819041536
0.0078000000000000005,460.80868110923996,0.0037487327120473107
0.0079,461.4068111842884,0.003843834442190468
0.008,462.00494125933693,0.003938936172333624
0.0081,462.6030713343854,0.0040340379024767815
0.0082,463.2012014094339,0.004129139632619938
0.0083,463.79933148448237,0.004224241362763096
0.008400000000000001,464.3974615595309,0.004319343092906254
0.0085,464.9865606107916,0.004414518780861333
0.0086,465.54905851989054,0.004509912313693713
0.008700000000000001,466.11155642898945,0.0046053058465260945
0.0088,466.6740543380884,0.004700699379358474
0.0089,467.2365522471873,0.004796092912190854
0.009000000000000001,467.7990501562862,0.0048914864450232375
0.0091,468.3615480653852,0.004986879977855617
0.0092,468.9240459744841,0.005082273510687997
0.009300000000000001,469.486543883583,0.005177667043520379
0.0094,470.027714380336,0.005273235233045971
0.0095,470.54685379580496,0.005368983841824614
0.009600000000000001,471.06599321127385,0.005464732450603258
0.0097,471.5851326267428,0.005560481059381901
0.0098,472.1042720422117,0.005656229668160545
0.0099,472.6234114576806,0.005751978276939188
0.01,473.14255087314956,0.005847726885717832
0.010100000000000001,473.66169028861844,0.005943475494496477
0.0102,474.1808297040874,0.006039224103275119
0.0103,474.6845883091171,0.006135098670207834
0.010400000000000001,475.18681763275004,0.006230985760892959
0.0105,475.689046956383,0.006326872851578085
0.0106,476.1912762800159,0.0064227599422632085
0.010700000000000001,476.6935056036489,0.006518647032948334
0.0108,477.1957349272818,0.006614534123633459
0.0109,477.69796425091477,0.006710421214318583
0.011000000000000001,478.2001935745477,0.0068063083050037086
0.0111,478.7024228981806,0.006902195395688834
0.0112,479.2082893503406,0.00699805270081765
0.011300000000000001,479.7141860430154,0.007093909758297658
0.0114,480.22008273569014,0.007189766815777663
0.0115,480.7259794283649,0.007285623873257669
0.011600000000000001,481.23187612103965,0.007381480930737677
0.0117,481.7377728137144,0.007477337988217684
0.0118,482.2436695063892,0.0075731950456976865
0.0119,482.74956619906396,0.007669052103177695
0.012,483.2452708647329,0.007764992626279554
0.012100000000000001,483.7271550913817,0.00786104632917739
0.0122,484.20903931803053,0.007957100032075223
0.0123,484.6909235446793,0.008053153734973057
0.012400000000000001,485.17280777132817,0.008149207437870891
0.0125,485.65469199797695,0.008245261140768727
0.0126,486.1365762246258,0.00834131484366656
0.012700000000000001,486.61846045127464,0.008437368546564395
0.0128,487.10034467792343,0.008533422249462227
0.0129,487.5748986955159,0.008629535981680711
0.013000000000000001,488.04274601908304,0.008725704637064832
0.0131,488.51059334265017,0.00882187329244895
0.0132,488.9784406662173,0.008918041947833067
0.013300000000000001,489.4462879897844,0.00901421060321719
0.0134,489.91413531335155,0.009110379258601307
0.0135,490.3819826369187,0.009206547913985424
0.013600000000000001,490.84982996048586,0.009302716569369544
0.0137,491.317677284053,0.009398885224753663
0.013800000000000002,491.78182813353953,0.009495084151692954
0.013900000000000001,492.2437883235944,0.009591301018611366
0.014,492.70574851364927,0.009687517885529781
0.014100000000000001,493.16770870370414,0.009783734752448196
0.0142,493.629668893759,0.00987995161936661
0.0143,494.09162908381387,0.009976168486285023
0.014400000000000001,494.55358927386874,0.010072385353203438
0.0145,495.0155494639236,0.010168602220121854
0.0146,495.47690570180345,0.010264824032989079
0.014700000000000001,495.9315999144571,0.010361100403215502
0.0148,496.3862941271107,0.010457376773441926
0.0149,496.84098833976435,0.010553653143668348
0.015000000000000001,497.29568255241804,0.010649929513894773
0.0151,497.7503767650717,0.010746205884121195
0.0152,498.2050709777253,0.010842482254347616
0.015300000000000001,498.65976519037895,0.010938758624574042
