TRUE_STRAIN,TRUE_STRESS
0.0,0.0
0.0001,16.105224016224604
0.0002,32.21044803244921
0.00030000000000000003,48.31567204867382
0.0004,64.42089606489841
0.0005,80.52612008112303
0.0006000000000000001,96.63134409734764
0.0007,112.73656811357223
0.0008,128.84179212979683
0.0009000000000000001,144.94701614602147
0.001,161.05224016224605
0.0011,177.15746417847066
0.0012000000000000001,193.26268819469527
0.0013000000000000002,209.36791221091988
0.0014,225.47313622714447
0.0015,240.78582518820753
0.0016,255.76678929762178
0.0017000000000000001,268.91532371295943
0.0018000000000000002,282.3728749699461
0.0019,297.4220534296472
0.002,312.3908593629143
0.0021000000000000003,327.25420129434406
0.0022,340.85358851507226
0.0023,353.91820765657826
0.0024000000000000002,361.35093059880666
0.0025,367.37801075071775
0.0026000000000000003,373.40509090262884
0.0027,379.4321710545399
0.0028,384.9956309531467
0.0029000000000000002,390.55745889183567
0.003,396.11928683052463
0.0031000000000000003,400.74590308633213
0.0032,403.7592417167498
0.0033,406.7725803471675
0.0034000000000000002,409.78591897758525
0.0035,412.79925760800296
0.0036000000000000003,415.81259623842067
0.0037,417.91526456713143
0.0038,419.8429122703169
0.0039000000000000003,421.77055997350243
0.004,423.6982076766879
0.0041,425.62585537987337
0.004200000000000001,427.5535030830589
0.0043,429.48115078624437
0.0044,430.83137186016586
0.0045000000000000005,432.1400423238884
0.0046,433.44871278761093
0.0047,434.75738325133347
0.0048000000000000004,436.06605371505606
0.0049,437.3747241787786
0.005,438.6833946425011
0.0051,439.8578177447917
0.005200000000000001,440.7737946263208
0.0053,441.6897715078499
0.0054,442.605748389379
0.0055000000000000005,443.5217252709081
0.0056,444.4377021524372
0.0057,445.35367903396633
0.0058000000000000005,446.26965591549543
0.0059,447.18563279702454
0.006,448.03433161601885
0.0061,448.82807370107895
0.006200000000000001,449.6218157861391
0.0063,450.4155578711992
0.0064,451.2092999562593
0.006500000000000001,452.0030420413195
0.0066,452.7967841263796
0.0067,453.5905262114397
0.0068000000000000005,454.3452878780695
0.006900000000000001,455.0013524087441
0.007,455.6574169394187
0.0071,456.3134814700933
0.007200000000000001,456.9695460007679
0.0073,457.6256105314425
0.0074,458.2816750621171
0.007500000000000001,458.9377395927917
0.0076,459.59380412346627
0.0077,460.21055103419144
0.0078000000000000005,460.80868110923996
0.0079,461.4068111842884
0.008,462.00494125933693
0.0081,462.6030713343854
0.0082,463.2012014094339
0.0083,463.79933148448237
0.008400000000000001,464.3974615595309
0.0085,464.9865606107916
0.0086,465.54905851989054
0.008700000000000001,466.11155642898945
0.0088,466.6740543380884
0.0089,467.2365522471873
0.009000000000000001,467.7990501562862
0.0091,468.3615480653852
0.0092,468.9240459744841
0.009300000000000001,469.486543883583
0.0094,470.027714380336
0.0095,470.54685379580496
0.009600000000000001,471.06599321127385
0.0097,471.5851326267428
0.0098,472.1042720422117
0.0099,472.6234114576806
0.01,473.14255087314956
0.010100000000000001,473.66169028861844
0.0102,474.1808297040874
0.0103,474.6845883091171
0.010400000000000001,475.18681763275004
0.0105,475.689046956383
0.0106,476.1912762800159
0.010700000000000001,476.6935056036489
0.0108,477.1957349272818
0.0109,477.69796425091477
0.011000000000000001,478.2001935745477
0.0111,478.7024228981806
0.0112,479.2082893503406
0.011300000000000001,479.7141860430154
0.0114,480.22008273569014
0.0115,480.7259794283649
0.011600000000000001,481.23187612103965
0.0117,481.7377728137144
0.0118,482.2436695063892
0.0119,482.74956619906396
0.012,483.2452708647329
0.012100000000000001,483.7271550913817
0.0122,484.20903931803053
0.0123,484.6909235446793
0.012400000000000001,485.17280777132817
0.0125,485.65469199797695
0.0126,486.1365762246258
0.012700000000000001,486.61846045127464
0.0128,487.10034467792343
0.0129,487.5748986955159
0.013000000000000001,488.04274601908304
0.0131,488.51059334265017
0.0132,488.9784406662173
0.013300000000000001,489.4462879897844
0.0134,489.91413531335155
0.0135,490.3819826369187
0.013600000000000001,490.84982996048586
0.0137,491.317677284053
0.013800000000000002,491.78182813353953
0.013900000000000001,492.2437883235944
0.014,492.70574851364927
0.014100000000000001,493.16770870370414
0.0142,493.629668893759
0.0143,494.09162908381387
0.014400000000000001,494.55358927386874
0.0145,495.0155494639236
0.0146,495.47690570180345
0.014700000000000001,495.9315999144571
0.0148,496.3862941271107
0.0149,496.84098833976435
0.015000000000000001,497.29568255241804
0.0151,497.7503767650717
0.0152,498.2050709777253
0.015300000000000001,498.65976519037895
0.0154,499.11445940303264
0.0155,499.568670438162
0.015600000000000001,500.00899673892707
0.015700000000000002,500.4493230396922
0.0158,500.88964934045725
0.0159,501.32997564122235
0.016,501.77030194198744
0.0161,502.21062824275253
0.0162,502.6509545435176
0.016300000000000002,503.0912808442827
0.0164,503.5275820331351
0.0165,503.9599198328936
0.0166,504.39225763265205
0.0167,504.82459543241055
0.016800000000000002,505.256933232169
0.016900000000000002,505.6892710319275
0.017,506.12160883168593
0.0171,506.55394663144443
0.0172,506.9780124630122
0.0173,507.39355513271346
0.017400000000000002,507.8090978024147
0.0175,508.22464047211594
0.0176,508.6401831418172
0.0177,509.05572581151847
0.0178,509.4712684812197
0.0179,509.88681115092095
0.018000000000000002,510.29520430305934
0.0181,510.6998787628184
0.0182,511.10455322257747
0.0183,511.5092276823366
0.0184,511.91390214209565
0.018500000000000003,512.3185766018547
0.018600000000000002,512.7232510616138
0.0187,513.1379889480693
0.0188,513.5722915645129
0.0189,514.0065941809564
0.019,514.4408967974001
0.019100000000000002,514.8751994138437
0.019200000000000002,515.3095020302873
0.0193,515.7438046467308
