,E,SIGMA_Y,r2,MAPE,ZERO,WINDOW_LENGTH,MULTI
77,122110.47829732895,417.91526456713143,0.961,60.03065180723985,37,77,3.8305584581869565e-05
71,130787.70895626997,409.78591897758525,0.975,51.24021443842264,34,71,4.6434058691075366e-05
65,156733.6233897609,340.85358851507226,0.999,4.4050327630515085,22,65,0.0006653474162481573
47,161052.240162246,225.47313622714447,1.0,5.684341886080802e-14,14,47,78023423715.95618
35,161052.240162246,193.26268819469527,1.0,4.263256414560601e-14,12,35,121369770224.82071
23,161052.24016224602,161.05224016224605,1.0,2.842170943040401e-14,10,23,218465586404.67728
29,161052.24016224602,161.05224016224605,1.0,2.842170943040401e-14,10,29,218465586404.67728
41,161052.2401622461,96.63134409734764,1.0,1.4210854715202004e-14,6,41,728218621348.9242
59,161052.2401622461,96.63134409734764,1.0,1.4210854715202004e-14,6,59,728218621348.9242
