DISPLACEMENT,FORCE,STRAIN,STRESS,TRUE_STRAIN,TRUE_STRESS
0.0,0.0,0.0,0.0,0.0,0.0
0.017766667,2.870432169,0.00142133336,228.42173425317034,0.001420324221841133,228.7463976842134
0.019933333,3.198049537,0.00159466664,254.4926960331486,0.0015933965092643889,254.8985270456363
0.022316666,3.511386114,0.0017853332799999998,279.42722857367073,0.0017837414668693272,279.9260993041815
0.024483333,3.83732346,0.00195866664,305.3644984507475,0.001956750953549565,305.9626057069033
0.026649999,4.159060449,0.00213199992,330.9675145381739,0.00212973043329511,331.67313725269184
0.029033334,4.469876792,0.00232266672,355.7014932292719,0.0023199734991507055,356.52766924984985
0.0338,4.755492101,0.002704,378.4300373543064,0.002700350768867175,379.4533121753125
0.03835,5.006665248,0.003068,398.41776131280506,0.0030633032918817335,399.64010700451274
0.045283334,5.212476495,0.0036226667200000002,414.7956999647835,0.003616120667598418,416.298366542645
0.05395,5.375444966,0.0043159999999999995,427.7643188286727,0.004306712784824685,429.6105496287372
0.063483333,5.495571167,0.00507866664,437.3236581706729,0.005065813711372076,439.5446792443071
0.074533329,5.591336243,0.00596266632,444.94440078115844,0.005944959975000335,447.5974557739689
0.084933336,5.668620676,0.0067946668799999995,451.0945005491606,0.006771687165272255,454.1595374117922
0.095766666,5.73414415,0.00766133328,456.30869293698726,0.0076321343067359,459.8046259121387
0.10638333,5.792107223,0.0085106664,460.9212477293605,0.008474654855950827,464.8439947054569
0.117433336,5.848389871,0.00939466688,465.4000785491111,0.009350811454549338,469.7723572530058
0.128266671,5.898792543,0.01026133368,469.4109957460308,0.010209043601960375,474.2277786064418
0.139533342,5.949195214,0.01116266736,473.4219128633731,0.01110082458335792,478.7065641976019
0.150366658,5.997917965,0.01202933264,477.2991461947159,0.011957555267356404,483.0407363930801
0.161633329,6.045800504,0.012930666319999999,481.1095175795361,0.012847779014974393,487.3305842147332
0.1729,6.092003121,0.013832,484.78620501920193,0.013737210969092912,491.49176780702754
0.183733329,6.135685101,0.01469866632,488.2623065397226,0.014591687943112504,495.4391112601835
0.195216658,6.181047506,0.015617332639999999,491.8721320328658,0.015496637106852982,499.55386273516905
0.20605,6.222209856,0.016484000000000002,495.14772776875515,0.016349613677091954,503.3097429132953
0.216233329,6.26001186,0.01729866632,498.1559156664449,0.017150747817001204,506.77334862689287
0.2262,6.29529373,0.018096,500.9635576724578,0.017934216236152073,510.02899421209855
0.235516671,6.327215254,0.018841333680000003,503.50379184027105,0.0186660342463975,512.9904747914788
0.245266658,6.363337337,0.01962133264,506.37829587238394,0.019431315858815593,516.3141128573724
0.254583342,6.396939287,0.02036666736,509.0522540923973,0.020162040503435806,519.4199520203554
0.264116671,6.426340677,0.02112933368,511.3919423685336,0.020909204695862944,522.1973133601017
0.27365,6.45658228,0.021892000000000002,513.79849267077,0.021655811050729955,525.0465692723185
0.282966671,6.489344017,0.02263733368,516.4055888646833,0.022384911583297064,528.09563449403
0.293150013,6.520425833,0.02345200104,518.8790011930197,0.02318122813627008,531.0477520686325
0.302899987,6.548987011,0.024231998959999997,521.1518275226334,0.023943062440513703,533.780378065164
0.312216658,6.576708481,0.02497733264,523.3578320127702,0.024670497848281434,536.4299146727025
0.321316658,6.60442995,0.02570533264,525.5638364233296,0.025380505342769494,539.0736296621459
0.330850013,6.629631286,0.02646800104,527.5692950217895,0.026123784112252874,541.5329996710983
0.341033342,6.656513047,0.027282667360000002,529.7084775928719,0.026917129064260706,544.1603377848102
0.350566671,6.682554092,0.02804533368,531.7807581103862,0.027659264971150784,546.6947269161952
0.360316671,6.710275561,0.02882533368,533.9867625209456,0.02841769869259672,549.3791091313147
0.370283329,6.73631711,0.02962266632,536.0590831455054,0.02919239174277501,551.9385824933299
0.379816658,6.757318391,0.03038533264,537.7303119867114,0.029932841639309746,554.0694263870387
0.389566671,6.781679515,0.031165333679999997,539.6689086386486,0.03068955462236945,556.4878702530935
0.399099987,6.803520505,0.03192799896,541.4069593989091,0.03142889617582719,558.6930002355342
0.40885,6.824521786,0.032708,543.078188240115,0.03218447834866696,560.8411896210727
0.4186,6.845523067,0.033488000000000004,544.749417081321,0.03293948904179837,562.9919855605402
0.427916671,6.86820427,0.034233333680000005,546.5543298676813,0.0336604118278051,565.2647066162905
0.438100013,6.890045259,0.03504800104,548.2923805483641,0.03444780345833989,567.5089324720473
0.448066671,6.909366116,0.03584533368,549.829885496525,0.03521784087748725,569.5387212093841
0.458466658,6.930367397,0.036677332640000004,551.501114337731,0.03602072619036185,571.7287041596267
0.46865,6.949688253,0.037492,553.0386192063143,0.03680626224961419,573.7731431175974
0.477966671,6.969849322,0.03823733368,554.6429861009977,0.0375244037721516,575.8510550338132
0.488366658,6.98833047,0.03906933264,556.1136691301042,0.03832544005435089,577.8406590549992
0.498116671,7.004291484,0.03984933368,557.3838062675336,0.039075831196859125,579.5951795513171
0.508300013,7.022772128,0.04066400104,558.8544491895943,0.03985897196124781,581.5797070926486
0.518266671,7.040413063,0.041461333680000004,560.2582701926008,0.04062485542242009,583.4873252800359
0.528233355,7.056374077,0.042258668400000005,561.5284073300303,0.041390154750659415,585.2578500925702
0.538199974,7.071494879,0.04305599792,562.7316825209372,0.04215486385833799,586.9606566730768
0.548383316,7.088295601,0.04387066528,564.0686414978435,0.04293559795479374,588.8147080639397
0.559000026,7.105096828,0.04472000208,565.405640661373,0.043748908920978866,590.6905820877934
0.569183355,7.120217629,0.0455346684,566.6089157727024,0.044528398973320144,592.4092648648959
