TRUE_STRESS,PLASTIC_STRAIN
423.6982076766879,0.0
425.62585537987337,8.304585112796315e-05
427.5535030830589,0.00016609170225592588
429.48115078624437,0.0002491375533838886
430.83137186016586,0.00033726201769362875
432.1400423238884,0.0004257519301243476
433.44871278761093,0.0005142418425550651
434.75738325133347,0.0006027317549857835
436.06605371505606,0.000691221667416502
437.3747241787786,0.0007797115798472195
438.6833946425011,0.0008682014922779379
439.8578177447917,0.0009578721441911016
440.7737946263208,0.0010498158959528344
441.6897715078499,0.001141759647714566
442.605748389379,0.0012337033994762985
443.5217252709081,0.0013256471512380313
444.4377021524372,0.0014175909029997633
445.35367903396633,0.0015095346547614958
446.26965591549543,0.0016014784065232282
447.18563279702454,0.0016934221582849598
448.03433161601885,0.00178595763761504
448.82807370107895,0.00187897647531351
449.6218157861391,0.00197199531301198
450.4155578711992,0.002065014150710449
451.2092999562593,0.0021580329884089188
452.0030420413195,0.002251051826107388
452.7967841263796,0.002344070663805857
453.5905262114397,0.0024370895015043267
454.3452878780695,0.0025304511818374075
455.0013524087441,0.002624680928432525
455.6574169394187,0.002718910675027642
456.3134814700933,0.0028131404216227597
456.9695460007679,0.0029073701682178774
457.6256105314425,0.003001599914812994
458.2816750621171,0.003095829661408112
458.9377395927917,0.0031900594080032296
459.59380412346627,0.0032842891545983455
460.21055103419144,0.0033788647096006817
460.80868110923996,0.0034736040043792573
461.4068111842884,0.003568343299157834
462.00494125933693,0.0036630825939364085
462.6030713343854,0.0037578218887149833
463.2012014094339,0.0038525611834935598
463.79933148448237,0.003947300478272135
464.3974615595309,0.004042039773050711
464.9865606107916,0.004136858497966604
465.54905851989054,0.004231911186652761
466.11155642898945,0.004326963875338919
466.6740543380884,0.004422016564025076
467.2365522471873,0.0045170692527112324
467.7990501562862,0.00461212194139739
468.3615480653852,0.004707174630083547
468.9240459744841,0.004802227318769703
469.486543883583,0.004897280007455862
470.027714380336,0.0049925202761253165
470.54685379580496,0.005087954313724272
471.06599321127385,0.005183388351323231
471.5851326267428,0.005278822388922186
472.1042720422117,0.005374256426521142
472.6234114576806,0.0054696904641201
473.14255087314956,0.005565124501719056
473.66169028861844,0.005660558539318014
474.1808297040874,0.0057559925769169705
474.6845883091171,0.005851561892632113
475.18681763275004,0.005947144658763755
475.689046956383,0.006042727424895396
476.1912762800159,0.006138310191027036
476.6935056036489,0.006233892957158678
477.1957349272818,0.0063294757232903185
477.69796425091477,0.006425058489421959
478.2001935745477,0.006520641255553601
478.7024228981806,0.006616224021685242
479.2082893503406,0.006711774798351996
479.7141860430154,0.006807325309045779
480.22008273569014,0.00690287581973956
480.7259794283649,0.0069984263304333424
481.23187612103965,0.0070939768411271255
481.7377728137144,0.007189527351820907
482.2436695063892,0.007285077862514688
482.74956619906396,0.007380628373208472
483.2452708647329,0.007476268525356384
483.7271550913817,0.00757203023175938
484.20903931803053,0.007667791938162375
484.6909235446793,0.007763553644565372
485.17280777132817,0.007859315350968368
485.65469199797695,0.007955077057371363
486.1365762246258,0.00805083876377436
486.61846045127464,0.008146600470177356
487.10034467792343,0.00824236217658035
487.5748986955159,0.008338188354025125
488.04274601908304,0.00843407351853935
488.51059334265017,0.008529958683053573
488.9784406662173,0.008625843847567798
489.4462879897844,0.008721729012082024
489.91413531335155,0.00881761417659625
490.3819826369187,0.008913499341110472
490.84982996048586,0.009009384505624697
491.317677284053,0.00910526967013892
491.78182813353953,0.00920118734607718
492.2437883235944,0.009297124289418951
492.70574851364927,0.009393061232760722
493.16770870370414,0.009488998176102496
493.629668893759,0.00958493511944427
494.09162908381387,0.00968087206278604
494.55358927386874,0.009776809006127814
495.0155494639236,0.009872745949469585
495.47690570180345,0.009968688204723419
495.9315999144571,0.010064689054173327
496.3862941271107,0.010160689903623232
496.84098833976435,0.010256690753073134
497.29568255241804,0.010352691602523043
497.7503767650717,0.010448692451972944
498.2050709777253,0.01054469330142285
498.65976519037895,0.010640694150872758
499.11445940303264,0.01073669500032266
499.568670438162,0.010832700099441043
500.00899673892707,0.010928827318308312
500.4493230396922,0.011024954537175585
500.88964934045725,0.011121081756042858
501.32997564122235,0.011217208974910128
501.77030194198744,0.011313336193777397
502.21062824275253,0.01140946341264467
502.6509545435176,0.01150559063151194
503.0912808442827,0.011601717850379212
503.5275820331351,0.011697880471123332
503.9599198328936,0.011794077950876503
504.39225763265205,0.011890275430629677
504.82459543241055,0.011986472910382847
505.256933232169,0.012082670390136021
505.6892710319275,0.012178867869889191
506.12160883168593,0.012275065349642365
506.55394663144443,0.012371262829395536
506.9780124630122,0.012467533063200156
507.39355513271346,0.012563878260368103
507.8090978024147,0.012660223457536056
508.22464047211594,0.012756568654704002
508.6401831418172,0.012852913851871952
509.05572581151847,0.012949259049039902
509.4712684812197,0.013045604246207848
509.88681115092095,0.013141949443375798
510.29520430305934,0.013238357522358163
510.6998787628184,0.013334798308180108
511.10455322257747,0.013431239094002057
511.5092276823366,0.013527679879824006
511.91390214209565,0.013624120665645952
512.3185766018547,0.013720561451467904
512.7232510616138,0.013817002237289853
513.1379889480693,0.013913354512729903
513.5722915645129,0.014009534711423608
514.0065941809564,0.014105714910117317
514.4408967974001,0.014201895108811022
514.8751994138437,0.01429807530750473
515.3095020302873,0.014394255506198439
515.7438046467308,0.014490435704892144
516.1781072631745,0.014586615903585853
516.6060448417894,0.014682852084396385
517.0310803439925,0.01477911378970263
517.4561158461955,0.014875375495008874
517.8811513483986,0.014971637200315118
518.3061868506015,0.015067898905621359
518.7312223528046,0.015164160610927603
519.1562578550077,0.015260422316233844
