U,RF
0.0,0.0
3.9e-05,0.0
7.8e-05,0.0
0.000117,0.0
0.000156,0.0
0.000195,0.0
0.000234,0.0
0.000273,0.0
0.000312,0.0
0.00035099999999999997,0.0
0.00039,0.0
0.000429,0.0
0.000468,0.0
0.000507,0.0
0.000546,0.0
0.000585,0.0
0.000624,0.0
0.000663,0.0
0.0007019999999999999,0.0
0.000741,0.0
0.00078,0.0
0.000819,0.0
0.000858,0.0
0.000897,0.0
0.000936,0.0
0.000975,0.0
0.001014,0.0
0.001053,0.0
0.001092,0.0
0.001131,0.0
0.00117,0.0
0.001209,0.0
0.001248,0.0
0.001287,0.0
0.001326,0.0
0.001365,0.0
0.0014039999999999999,0.0
0.001443,0.0
0.001482,0.0
0.001521,0.0
0.00156,0.0
0.001599,0.0
0.001638,0.0
0.0016769999999999999,0.0
0.001716,0.0
0.001755,0.0
0.001794,0.0
0.001833,0.0
0.001872,0.0
0.001911,0.0
0.00195,0.0
0.001989,0.0
0.002028,0.0
0.002067,0.0
0.002106,0.0
0.0021449999999999998,0.0
0.002184,0.0
0.002223,0.0
0.002262,0.0
0.002301,0.0
0.00234,0.0
0.002379,0.0
0.002418,0.0
0.002457,0.0
0.002496,0.0
0.002535,0.0
0.002574,0.0
0.002613,0.0
0.002652,0.0
0.002691,0.0
0.00273,0.0
0.0027689999999999998,0.0
0.0028079999999999997,0.0
0.002847,0.0
0.002886,0.0
0.002925,0.0
0.002964,0.0
0.003003,0.0
0.003042,0.0
0.003081,0.0
0.00312,0.0
0.003159,0.0
0.003198,0.0
0.003237,0.0
0.003276,0.0
0.003315,0.0
0.0033539999999999998,0.0
0.0033929999999999997,0.0
0.003432,0.0
0.003471,0.0
0.00351,0.0
0.003549,0.0
0.003588,0.0
0.003627,0.0038528334014741317
0.003666,0.009870734386040803
0.003705,0.01588438746352927
0.003744,0.021893794150224855
0.003783,0.027898955962412653
0.003822,0.03389987441637832
0.003861,0.039896551028406946
0.0039,0.04588898731478386
0.003939,0.051877184791794484
0.003978,0.057861144975724144
0.004017,0.06384086938285805
0.004056,0.06981635952948162
0.004095,0.07578761693188019
0.004134,0.08175464310633906
0.004173,0.08771743956914335
0.004212,0.09367600783657881
0.004251,0.09963034942493043
0.0042899999999999995,0.10558046585048364
0.0043289999999999995,0.11152635862952365
0.004368,0.1174680292783361
0.004407,0.12340547931320589
0.004446,0.12933871025041876
0.004485,0.13526772360625972
0.004524,0.14119252089701428
0.004563,0.14711310363896757
0.004602,0.1530294733484051
0.004641,0.15894163154161212
0.00468,0.1648495797348739
0.004719,0.17075331944447592
0.004758,0.17665285218670335
0.004797,0.18254817947784163
0.004836,0.18843930283417598
0.004875,0.1943262237719917
0.004914,0.20020894380757437
0.004953,0.20608746445720894
0.004992,0.21196178723718107
0.005031,0.21783191366377586
0.00507,0.22369784525327874
0.005109,0.22955958352197492
0.005148,0.23541712998614994
0.005187,0.2412704861620889
0.005226,0.24711965356607724
0.005265,0.25296463371440026
0.005304,0.2588054281233433
0.005343,0.26464203830919164
0.005382,0.27047446578823053
0.005421,0.2763027120767456
0.00546,0.28212677869102176
0.0054989999999999995,0.28794666714734474
0.0055379999999999995,0.2937623789619995
0.0055769999999999995,0.29957391565127167
0.0056159999999999995,0.30538127873144627
0.005655,0.311184469718809
0.005694,0.3169834901296448
0.005733,0.3227783414802392
0.005772,0.3285690252868776
0.005811,0.33435554306584503
0.00585,0.34013789633342717
0.005889,0.345916086605909
0.005928,0.3516901153995762
0.005967,0.3574599842307137
0.006006,0.36322569461560716
0.006045,0.36898724807054173
0.006084,0.3747446461118029
0.006123,0.3804978902556757
0.006162,0.38624698201844576
0.006201,0.3919919229163983
0.00624,0.39773271446581837
0.006279,0.4034693581829918
0.006318,0.4092018555842035
0.006357,0.4149302081857391
0.006396,0.42065441750388366
0.006435,0.4263744850549226
0.006474,0.43209041235514134
0.006513,0.437802200920825
0.006552,0.4435098522682591
0.006591,0.4492133679137288
0.00663,0.4549127493735198
0.006669,0.46060799816391695
0.0067079999999999996,0.46629911580120564
0.0067469999999999995,0.4719861038016716
0.0067859999999999995,0.4776689636815995
0.0068249999999999995,0.4833476969572753
0.006864,0.4890223051449841
0.006903,0.49469278976101105
0.006942,0.5003591523216416
0.006981,0.506021394343161
0.00702,0.5116795173418548
0.007059,0.517333522834008
0.007098,0.5229834123359064
0.007137,0.5286291873638348
0.007176,0.5342708494340788
0.007215,0.5399084000629238
0.007254,0.5455418407666547
0.007293,0.5511711730615573
0.007332,0.5567963984639169
0.007371,0.5624175184900183
0.00741,0.5680345346561476
0.007449,0.5736474484785893
0.007488,0.5792562614736295
0.007527,0.584860975157553
0.007566,0.5904615910466452
0.007605,0.5960581106571917
0.007644,0.6016505355054776
0.007683,0.6072388671077881
0.007722,0.612823106980409
0.007761,0.6184032566396248
0.0078,0.6239793176017218
0.007839,0.6295512913829847
0.007878,0.6351191794996988
0.007917,0.6406829834681499
0.007956,0.6462427048046228
0.007995,0.6517983450254031
0.008034,0.6573499056467761
0.008073,0.662897388185027
0.008112,0.6684407941564415
0.008151,0.6739801250773044
0.00819,0.6795153824639014
0.008229,0.6850465678325176
0.008268,0.6905736826994385
0.008307,0.6960967285809493
0.008346,0.7016157069933352
0.008385,0.707130619452882
0.008424,0.7126414674758744
0.008463,0.7181482525785984
0.008502,0.7236509762773385
0.008541,0.7291496400883807
0.008579999999999999,0.7346442455280103
0.008619,0.7401347941125122
0.008657999999999999,0.7456212873581719
0.008697,0.7511037267812751
0.008736,0.7565821138981065
0.008775,0.7620564502249519
0.008814,0.7675267372780964
0.008853,0.7729929765738252
0.008892,0.778455169628424
0.008931,0.783913317958178
0.00897,0.7893674230793722
0.009009,0.7948174865082923
0.009048,0.8002635097612235
0.009087,0.8057054943544509
0.009126,0.8111434418042603
0.009165,0.8165773536269368
0.009204,0.8220072313387657
0.009243,0.8274330764560321
0.009282,0.8328548904950218
0.009321,0.8382726749720196
0.00936,0.8436864314033111
0.009399,0.8490961613051818
0.009438,0.8545018661939167
0.009477,0.8599035475858013
0.009516,0.865301206997121
0.009555,0.8706948459441609
0.009594,0.8760844659432062
0.009633,0.8814700685105427
0.009672,0.8868516551624556
0.009711,0.8922292274152298
0.00975,0.8976027867851509
0.009788999999999999,0.9029723347885045
0.009828,0.9083378729415755
0.009866999999999999,0.9136994027606494
0.009906,0.9190569257620117
0.009944999999999999,0.9244104434619477
0.009984,0.929759957376742
0.010023,0.9351054690226809
0.010062,0.9404469799160492
0.010101,0.9457844915731323
0.01014,0.9511180055102156
0.010179,0.9564475232435844
0.010218,0.9617730462895239
0.010257,0.9670945761643196
0.010296,0.9724121143842569
0.010335,0.9777256624656209
0.010374,0.9830352219246968
0.010413,0.9883407942777703
0.010452,0.9936423810411267
0.010491,0.9989399837310508
0.01053,1.0042336038638284
0.010569,1.009523242955745
0.010608,1.0148089025230855
0.010647,1.0200905840821353
0.010686,1.02536828914918
0.010725,1.0306420192405046
0.010764,1.0359117758723948
0.010803,1.041177560561135
0.010842,1.0464393748230116
0.010881,1.0516972201743098
0.01092,1.056951098131314
0.010959,1.0622010102103108
0.010997999999999999,1.0674469579275847
0.011037,1.072688942799421
0.011075999999999999,1.0779269663421052
0.011115,1.0831610300719228
0.011153999999999999,1.0883911355051592
0.011193,1.0936172841580993
0.011231999999999999,1.0988394775470285
0.011271,1.1040577171882324
0.01131,1.109272004597996
0.011349,1.114482341292605
0.011388,1.1196887287883448
0.011427,1.1248911686014997
0.011466,1.1300896622483565
0.011505,1.1352842112451995
0.011544,1.140474817108314
0.011583,1.145661481353986
0.011622,1.1508442054985006
0.011661,1.1560229910581428
0.0117,1.1611978395491982
0.011739,1.1663687524879518
0.011778,1.1715357313906893
0.011817,1.1766987777736961
0.011856,1.181857893153257
0.011895,1.187013079045658
0.011934,1.1921643369671835
0.011973,1.19731166843412
0.012012,1.202455074962752
0.012051,1.2075945580693648
0.01209,1.212730119270244
0.012129,1.217861760081675
0.012168,1.2229894820199432
0.012206999999999999,1.2281132866013338
0.012246,1.2332331753421317
0.012284999999999999,1.2383491497586223
0.012324,1.2434612113670918
0.012362999999999999,1.2485693616838245
0.012402,1.2536736022251063
0.012440999999999999,1.2587739345072224
0.01248,1.2638703600464583
0.012519,1.2689628803590987
0.012558,1.2740514969614298
0.012597,1.2791362113697362
0.012636,1.2842170251003031
0.012675,1.2892939396694167
0.012714,1.294366956593362
0.012753,1.2994360773884237
0.012792,1.3045013035708881
0.012831,1.3095626366570396
0.01287,1.3146200781631636
0.012909,1.3196736296055467
0.012948,1.3247232925004724
0.012987,1.3297690683642274
0.013026,1.3348109587130965
0.013065,1.3398489650633647
0.013104,1.3448830889313181
0.013143,1.3499133318332412
0.013182,1.3549396952854202
0.013221,1.35996218080414
0.01326,1.3649807899056854
0.013299,1.3699955241063422
0.013338,1.3750063849223961
0.013377,1.3800133738701317
0.013415999999999999,1.385016492465835
0.013455,1.3900157422257906
0.013493999999999999,1.3950111246662846
0.013533,1.4000026413036015
0.013571999999999999,1.404990293654027
0.013611,1.409974083233847
0.013649999999999999,1.4149540115593462
0.013689,1.41993008014681
0.013728,1.4249022905125237
0.013767,1.4298706441727722
0.013806,1.4348351426438422
0.013845,1.4397957874420175
0.013884,1.4447525800835845
0.013923,1.4497055220848276
0.013962,1.454654614962033
0.014001,1.459599860231485
0.01404,1.4645412594094704
0.014079,1.4694788140122732
0.014118,1.474412525556179
0.014157,1.4793423955574738
0.014196,1.4842684255324423
0.014235,1.4891906169973699
0.014274,1.4941089714685418
