DIAMETER,DISPLACEMENT,TIME
4.0,0.0,0.0
4.0,0.00014349559205584228,4.999846714781597e-05
4.0,0.0002869887393899262,9.999608300859109e-05
4.0,0.00043048098450526595,0.00014999340055510402
4.0,0.0005756851169280708,0.00020058716472703964
4.0,0.0007274808594956994,0.00025347768678329885
4.0,0.0008791557047516108,0.00030632608104497194
4.0,0.0010308049386367202,0.00035916551132686436
4.0,0.0011824462562799454,0.0004120022349525243
4.0,0.001334084663540125,0.00046483793994411826
4.0,0.0014857219066470861,0.0005176732083782554
4.0,0.00163735868409276,0.0005705083021894097
4.0,0.001788994879461825,0.0006233432795852423
4.0,0.0019406310748308897,0.0006761781987734139
4.0,0.00209226761944592,0.0007290131179615855
4.0,0.0022439039312303066,0.0007818480953574181
4.0,0.0023955400101840496,0.0008346828981302679
4.0,0.0025471767876297235,0.0008875177009031177
4.0,0.0026988135650753975,0.0009403525036759675
4.0,0.0028504501096904278,0.000993187422864139
4.0,0.0030020864214748144,0.0010460225166752934
4.0,0.0031537218019366264,0.0010988571448251605
4.0,0.00330535601824522,0.001151691423729062
4.0,0.0034569893032312393,0.0012045253533869982
4.0,0.0036086225882172585,0.0012573592830449343
4.0,0.0037602551747113466,0.0013101928634569049
4.0,0.0039118872955441475,0.0013630262110382318
4.0,0.004063520580530167,0.0014158600242808461
4.0,0.004215153865516186,0.0014686939539387822
4.0,0.004366787150502205,0.0015215278835967183
4.0,0.004518420435488224,0.0015743618132546544
4.0,0.004670053720474243,0.0016271957429125905
4.0,0.004821687005460262,0.0016800296725705266
4.0,0.004973320290446281,0.0017328636022284627
4.0,0.005124953575432301,0.0017856975318863988
4.0,0.00527658686041832,0.0018385314615443349
4.0,0.0054282196797430515,0.0018913651583716273
4.0,0.005579850636422634,0.0019441985059529543
4.0,0.005731481593102217,0.001997031271457672
4.0,0.005883113481104374,0.0020498649682849646
4.0,0.006034746766090393,0.0021026988979429007
4.0,0.006186380051076412,0.0021555328276008368
4.0,0.006338013336062431,0.002208366757258773
4.0,0.006489646155387163,0.002261200686916709
4.0,0.006641277112066746,0.0023140334524214268
4.0,0.006792908068746328,0.0023668662179261446
4.0,0.006944537628442049,0.0024196987506002188
4.0,0.007096164394170046,0.0024725303519517183
4.0,0.007247790694236755,0.002525361953303218
4.0,0.007399414665997028,0.002578192623332143
4.0,0.007551038637757301,0.002631023060530424
4.0,0.007702662609517574,0.0026838534977287054
4.0,0.007854286581277847,0.0027366839349269867
4.0,0.00800591055303812,0.002789514372125268
3.999999999999999,0.008157534524798393,0.0028423448093235493
3.9999999999998885,0.008309158496558666,0.002895175479352474
3.9999999999915166,0.00846078246831894,0.0029480070807039738
3.9999999996236038,0.008612408302724361,0.0030008386820554733
3.9999999901894654,0.008764036931097507,0.003053670283406973
3.999999849466249,0.008915665559470654,0.0031065018847584724
3.9999986420754112,0.0090672941878438,0.003159333486109972
3.9999927893836684,0.009218922816216946,0.0032121650874614716
3.9999769763180666,0.009370551444590092,0.003264996688812971
3.9999519786179007,0.009522180072963238,0.0033178282901644707
3.9999215973221,0.009673808701336384,0.0033706598915159702
3.999882443458773,0.00982543732970953,0.0034234924241900444
3.9998366879153764,0.009977065958082676,0.0034763249568641186
3.9997845610050717,0.010128694586455822,0.003529156791046262
3.999717946513556,0.010280323214828968,0.0035819883923977613
3.999643216491677,0.01043194904923439,0.003634819993749261
3.9995678505219985,0.010583577677607536,0.0036876515951007605
3.999491592461709,0.010735206305980682,0.0037404834292829037
3.9994121351046488,0.010886834934353828,0.0037933161947876215
3.999323805619497,0.011038463562726974,0.0038461487274616957
3.9992241514846683,0.01119009219110012,0.0038989807944744825
3.999118852254469,0.011341720819473267,0.003951812628656626
3.9990150574594736,0.011493347585201263,0.004004644230008125
3.9989191397326067,0.01164497435092926,0.004057475831359625
3.9988258342491463,0.011796601116657257,0.004110307432711124
3.998721920303069,0.01194822508841753,0.004163139034062624
3.9986144265858456,0.012099849060177803,0.0042159706354141235
3.9985133503796533,0.012251472100615501,0.0042687999084591866
3.9984134942060336,0.01240309327840805,0.00432162918150425
3.998315297998488,0.012554716318845749,0.004374458454549313
3.998222328722477,0.012706338427960873,0.004427287727594376
3.9981451970525086,0.012857957743108273,0.004480117000639439
3.998111971653998,0.013009577989578247,0.004532946273684502
3.99812621017918,0.013161199167370796,0.004585775546729565
3.9981537841958925,0.013312818482518196,0.004638604819774628
3.9981613245327026,0.01346444059163332,0.004691434092819691
3.9981551566161215,0.013616063632071018,0.004744263365864754
3.998173272702843,0.013767682947218418,0.004797092638909817
3.9982241173274815,0.013919302262365818,0.00484992191195488
3.998293399810791,0.014070921577513218,0.004902751184999943
3.9983854313613847,0.014222540892660618,0.004955580458045006
3.998488331097178,0.014374160207808018,0.005008409731090069
3.998569754883647,0.014525779522955418,0.005061239004135132
3.998633844894357,0.014677398838102818,0.005114068277180195
3.9987040670821443,0.014829018153250217,0.005166897550225258
3.998785239062272,0.014980637468397617,0.005219726823270321
3.9988620567601174,0.015132256783545017,0.005272556096315384
3.998906785156578,0.015283876098692417,0.005325385369360447
3.998913182411343,0.015435495413839817,0.00537821464240551
3.9988994607701898,0.015587114728987217,0.005431043915450573
3.99887355894316,0.015738733112812042,0.005483873188495636
3.9988424790790305,0.015890352427959442,0.005536702461540699
3.998822969268076,0.016041971743106842,0.005589531734585762
3.9988243103725836,0.016193591058254242,0.005642361007630825
3.998843807843514,0.016345210373401642,0.005695190280675888
3.9988652911270037,0.01649683341383934,0.005748019553720951
3.9988661175593734,0.01664845272898674,0.005800848826766014
