ALLKE,ALLIE,TIME
0.016073007136583328,0.0,0.0
0.0743408203125,0.10333251953125,4.999846714781597e-05
0.1837158203125,0.20849609375,9.999608300859109e-05
0.294189453125,0.310546875,0.00014999340055510402
0.406005859375,0.41064453125,0.00020058716472703964
0.52294921875,0.51171875,0.00025347768678329885
0.63916015625,0.60986328125,0.00030632608104497194
0.75537109375,0.70654296875,0.00035916551132686436
0.8681640625,0.802734375,0.0004120022349525243
0.9755859375,0.90087890625,0.00046483793994411826
1.078125,1.0009765625,0.0005176732083782554
1.1748046875,1.103515625,0.0005705083021894097
1.2666015625,1.208984375,0.0006233432795852423
1.35546875,1.314453125,0.0006761781987734139
1.44140625,1.421875,0.0007290131179615855
1.529296875,1.52734375,0.0007818480953574181
1.619140625,1.630859375,0.0008346828981302679
1.7119140625,1.732421875,0.0008875177009031177
1.80859375,1.8330078125,0.0009403525036759675
1.908203125,1.9345703125,0.000993187422864139
2.01171875,2.029296875,0.0010460225166752934
2.126953125,2.1171875,0.0010988571448251605
2.248046875,2.205078125,0.001151691423729062
2.369140625,2.29296875,0.0012045253533869982
2.4921875,2.3828125,0.0012573592830449343
2.615234375,2.470703125,0.0013101928634569049
2.7421875,2.556640625,0.0013630262110382318
2.875,2.638671875,0.0014158600242808461
3.0078125,2.716796875,0.0014686939539387822
3.14453125,2.79296875,0.0015215278835967183
3.28515625,2.861328125,0.0015743618132546544
3.431640625,2.919921875,0.0016271957429125905
3.58203125,2.98046875,0.0016800296725705266
3.72265625,3.044921875,0.0017328636022284627
3.861328125,3.111328125,0.0017856975318863988
3.990234375,3.185546875,0.0018385314615443349
4.1171875,3.26171875,0.0018913651583716273
4.2421875,3.333984375,0.0019441985059529543
4.37109375,3.408203125,0.001997031271457672
4.5,3.4765625,0.0020498649682849646
4.62109375,3.541015625,0.0021026988979429007
4.7421875,3.59765625,0.0021555328276008368
4.859375,3.66015625,0.002208366757258773
4.96484375,3.73046875,0.002261200686916709
5.06640625,3.806640625,0.0023140334524214268
5.1640625,3.884765625,0.0023668662179261446
5.26171875,3.9609375,0.0024196987506002188
5.3671875,4.03515625,0.0024725303519517183
5.46484375,4.109375,0.002525361953303218
5.5703125,4.1796875,0.002578192623332143
5.67578125,4.25,0.002631023060530424
5.78125,4.3203125,0.0026838534977287054
5.8828125,4.38671875,0.0027366839349269867
5.98046875,4.45703125,0.002789514372125268
6.0703125,4.53125,0.0028423448093235493
6.15234375,4.609375,0.002895175479352474
6.234375,4.68359375,0.0029480070807039738
6.30859375,4.76171875,0.0030008386820554733
6.37890625,4.83984375,0.003053670283406973
6.4453125,4.9140625,0.0031065018847584724
6.50390625,4.9921875,0.003159333486109972
6.546875,5.06640625,0.0032121650874614716
6.58984375,5.140625,0.003264996688812971
6.62890625,5.21875,0.0033178282901644707
6.67578125,5.296875,0.0033706598915159702
6.72265625,5.37890625,0.0034234924241900444
6.765625,5.46875,0.0034763249568641186
6.80078125,5.5625,0.003529156791046262
6.8359375,5.6640625,0.0035819883923977613
6.87109375,5.78125,0.003634819993749261
6.89453125,5.9140625,0.0036876515951007605
6.90234375,6.0625,0.0037404834292829037
6.890625,6.23046875,0.0037933161947876215
6.85546875,6.41796875,0.0038461487274616957
6.80078125,6.625,0.0038989807944744825
6.7265625,6.85546875,0.003951812628656626
6.6328125,7.1015625,0.004004644230008125
6.51171875,7.37109375,0.004057475831359625
6.3671875,7.65234375,0.004110307432711124
6.19921875,7.95703125,0.004163139034062624
6.0078125,8.2734375,0.0042159706354141235
5.80078125,8.6015625,0.0042687999084591866
5.59375,8.921875,0.00432162918150425
5.3984375,9.2265625,0.004374458454549313
5.2265625,9.5234375,0.004427287727594376
5.078125,9.8046875,0.004480117000639439
4.9453125,10.0859375,0.004532946273684502
4.8203125,10.359375,0.004585775546729565
4.703125,10.625,0.004638604819774628
4.60546875,10.875,0.004691434092819691
4.51953125,11.1171875,0.004744263365864754
4.4453125,11.34375,0.004797092638909817
4.375,11.5546875,0.00484992191195488
4.3046875,11.78125,0.004902751184999943
4.21484375,12.0234375,0.004955580458045006
4.11328125,12.2890625,0.005008409731090069
4.0,12.546875,0.005061239004135132
3.88671875,12.796875,0.005114068277180195
3.77734375,13.046875,0.005166897550225258
3.681640625,13.28125,0.005219726823270321
3.595703125,13.5078125,0.005272556096315384
3.521484375,13.71875,0.005325385369360447
3.4453125,13.9375,0.00537821464240551
3.365234375,14.140625,0.005431043915450573
3.291015625,14.3515625,0.005483873188495636
3.228515625,14.546875,0.005536702461540699
3.18359375,14.7265625,0.005589531734585762
3.158203125,14.8984375,0.005642361007630825
3.1328125,15.078125,0.005695190280675888
3.08984375,15.28125,0.005748019553720951
3.033203125,15.4921875,0.005800848826766014
2.96484375,15.71875,0.005853675771504641
2.892578125,15.9375,0.005906504113227129
2.826171875,16.15625,0.005959333386272192
2.75,16.390625,0.006012162659317255
2.6640625,16.640625,0.006064991932362318
2.578125,16.875,0.006117821205407381
2.501953125,17.09375,0.006170650478452444
2.4296875,17.3125,0.006223479751497507
2.36328125,17.546875,0.00627630902454257
2.29296875,17.765625,0.006329138297587633
2.208984375,18.015625,0.006381967570632696
2.119140625,18.25,0.006434796843677759
2.025390625,18.484375,0.006487626116722822
1.9404296875,18.734375,0.006540455389767885
1.8564453125,18.96875,0.006593284662812948
1.759765625,19.21875,0.006646113935858011
1.638671875,19.5,0.006698943208903074
1.5126953125,19.78125,0.006751772481948137
1.3984375,20.0625,0.0068046017549932
1.2880859375,20.34375,0.006857431028038263
1.1806640625,20.625,0.006910260301083326
1.091796875,20.890625,0.006963089574128389
1.025390625,21.125,0.007015918847173452
0.98046875,21.375,0.007068748120218515
0.939453125,21.609375,0.007121577393263578
0.8828125,21.890625,0.0071744066663086414
0.81787109375,22.1875,0.0072272359393537045
0.76123046875,22.46875,0.0072800652123987675
0.71728515625,22.78125,0.0073328944854438305
0.67822265625,23.078125,0.0073857237584888935
0.6513671875,23.390625,0.0074385530315339565
0.63037109375,23.71875,0.0074913823045790195
0.60888671875,24.078125,0.0075442115776240826
0.59619140625,24.4375,0.007597040850669146
0.59521484375,24.8125,0.007649870123714209
0.59375,25.203125,0.007702700328081846
0.59619140625,25.609375,0.007755529601126909
0.6064453125,26.015625,0.007808358874171972
0.619140625,26.453125,0.007861188612878323
0.63525390625,26.90625,0.007914017885923386
0.65625,27.375,0.007966847158968449
0.6826171875,27.859375,0.008019676432013512
0.720703125,28.34375,0.008072505705058575
0.7783203125,28.828125,0.008125334978103638
0.84521484375,29.3125,0.0081781642511487
0.93701171875,29.78125,0.008230993524193764
1.0634765625,30.25,0.008283822797238827
1.2138671875,30.71875,0.00833665207028389
1.3935546875,31.15625,0.008389481343328953
1.6103515625,31.578125,0.008442310616374016
1.85546875,31.96875,0.008495139889419079
2.119140625,32.34375,0.008547969162464142
2.388671875,32.71875,0.008600798435509205
2.650390625,33.09375,0.008653627708554268
2.896484375,33.46875,0.008706456981599331
3.12109375,33.84375,0.008759286254644394
3.3359375,34.25,0.008812115527689457
3.5390625,34.625,0.00886494480073452
3.724609375,35.03125,0.008917774073779583
3.904296875,35.40625,0.008970603346824646
4.09375,35.78125,0.009023432619869709
4.28125,36.125,0.009076261892914772
4.47265625,36.5,0.009129091165959835
4.66015625,36.84375,0.009181920439004898
4.8515625,37.1875,0.009234749712049961
5.02734375,37.53125,0.009287578985095024
5.1875,37.875,0.009340408258140087
5.33203125,38.25,0.00939323753118515
5.4609375,38.59375,0.009446066804230213
5.5859375,38.96875,0.009498896077275276
5.70703125,39.3125,0.00955172535032034
5.81640625,39.65625,0.009604554623365402
5.91015625,39.96875,0.009657383896410465
5.99609375,40.3125,0.009710213169455528
6.09375,40.65625,0.009763042442500591
6.2109375,41.0,0.009815871715545654
6.3203125,41.375,0.009868700988590717
6.41796875,41.78125,0.00992153026163578
6.5078125,42.21875,0.009974359534680843
6.58984375,42.65625,0.010027188807725906
6.66796875,43.09375,0.01008001808077097
6.7421875,43.53125,0.010132847353816032
6.8203125,43.96875,0.010185671970248222
6.91015625,44.375,0.010238496586680412
7.0,44.8125,0.010291321203112602
7.07421875,45.21875,0.010344145819544792
7.1328125,45.65625,0.010396970435976982
7.171875,46.0625,0.010449795052409172
7.1953125,46.5,0.010502619668841362
7.203125,46.9375,0.010555447079241276
7.17578125,47.40625,0.010608276352286339
7.1328125,47.875,0.010661105625331402
7.08203125,48.34375,0.010713934898376465
7.03515625,48.84375,0.010766764171421528
6.984375,49.3125,0.010819589719176292
6.9296875,49.78125,0.010872414335608482
6.87890625,50.25,0.010925238952040672
6.82421875,50.71875,0.010978063568472862
6.76171875,51.1875,0.011030888184905052
6.671875,51.65625,0.011083712801337242
6.55859375,52.15625,0.011136537417769432
6.41796875,52.65625,0.011189362034201622
6.26171875,53.15625,0.011242186650633812
6.09765625,53.65625,0.011295011267066002
5.9375,54.15625,0.011347835883498192
5.78515625,54.6875,0.011400660499930382
5.63671875,55.21875,0.011453485116362572
5.4921875,55.78125,0.011506309732794762
5.34765625,56.375,0.011559134349226952
5.1875,56.96875,0.011611958965659142
5.015625,57.5625,0.011664783582091331
4.828125,58.21875,0.011717608198523521
4.6171875,58.875,0.011770432814955711
4.3984375,59.53125,0.011823257431387901
4.1875,60.1875,0.011876082047820091
4.0078125,60.78125,0.011928906664252281
3.86328125,61.40625,0.011981731280684471
3.740234375,62.0,0.012034555897116661
3.626953125,62.59375,0.012087380513548851
3.513671875,63.1875,0.012140205129981041
3.3984375,63.78125,0.012193029746413231
3.28515625,64.375,0.01224585436284542
3.17578125,64.9375,0.01229867897927761
3.06640625,65.5,0.0123515035957098
2.958984375,66.0,0.01240432821214199
2.849609375,66.5625,0.01245715282857418
2.744140625,67.125,0.012509964406490326
2.65625,67.625,0.012562776915729046
2.58984375,68.1875,0.012615574523806572
2.54296875,68.6875,0.012668352574110031
2.51171875,69.1875,0.012721128761768341
2.4921875,69.6875,0.012773902155458927
2.47265625,70.1875,0.012826675549149513
2.439453125,70.6875,0.0128794489428401
2.3984375,71.1875,0.012932222336530685
2.361328125,71.6875,0.012985018081963062
2.330078125,72.25,0.013037828728556633
2.294921875,72.75,0.013090639375150204
2.2578125,73.25,0.013143450021743774
2.23046875,73.75,0.013196260668337345
2.22265625,74.25,0.013249071314930916
2.244140625,74.75,0.013301882892847061
2.29296875,75.25,0.013354703783988953
2.357421875,75.75,0.013407528400421143
2.41796875,76.25,0.013460353016853333
2.462890625,76.75,0.013513177633285522
2.48828125,77.3125,0.013566002249717712
2.509765625,77.8125,0.013618826866149902
2.529296875,78.375,0.013671651482582092
2.548828125,78.9375,0.013724476099014282
2.552734375,79.5,0.013777300715446472
2.525390625,80.0625,0.013830125331878662
2.470703125,80.6875,0.013882949948310852
2.3828125,81.3125,0.013935774564743042
2.26171875,81.9375,0.013988599181175232
2.107421875,82.5625,0.014041423797607422
1.9423828125,83.1875,0.014094248414039612
1.78125,83.8125,0.014147073030471802
1.638671875,84.4375,0.014199897646903992
1.5185546875,85.0625,0.014252722263336182
1.419921875,85.6875,0.014305546879768372
1.3349609375,86.375,0.014358371496200562
1.2666015625,87.0,0.014411196112632751
1.212890625,87.625,0.014464020729064941
1.158203125,88.3125,0.014516845345497131
1.099609375,88.9375,0.014569669961929321
1.0419921875,89.5625,0.014622494578361511
0.99462890625,90.25,0.014675319194793701
0.95263671875,90.875,0.014728143811225891
0.90869140625,91.5625,0.014780968427658081
0.8525390625,92.25,0.014833793044090271
0.79736328125,92.9375,0.014886617660522461
0.76318359375,93.5625,0.014939442276954651
0.75341796875,94.25,0.01499226689338684
0.76611328125,94.9375,0.01504509150981903
0.7939453125,95.625,0.01509791612625122
0.8193359375,96.3125,0.01515074074268341
0.833984375,97.0,0.0152035653591156
0.84912109375,97.75,0.01525638997554779
0.87451171875,98.4375,0.01530921459197998
0.91259765625,99.1875,0.01536203920841217
0.96484375,99.9375,0.01541486382484436
1.0244140625,100.6875,0.01546768844127655
1.0810546875,101.4375,0.01552051305770874
1.1376953125,102.1875,0.01557333767414093
1.203125,102.9375,0.01562616229057312
1.2822265625,103.6875,0.01567898690700531
1.373046875,104.4375,0.0157318115234375
1.4775390625,105.25,0.01578463613986969
1.599609375,106.0,0.01583746075630188
1.7421875,106.75,0.01589028537273407
1.9052734375,107.5,0.01594310998916626
2.087890625,108.25,0.01599593460559845
2.30078125,108.9375,0.01604875922203064
2.5390625,109.6875,0.01610158383846283
2.791015625,110.375,0.01615440845489502
3.056640625,111.0,0.01620723307132721
3.341796875,111.6875,0.0162600576877594
3.638671875,112.3125,0.01631288230419159
3.931640625,113.0,0.01636570692062378
4.21484375,113.625,0.01641853153705597
4.48046875,114.3125,0.01647135615348816
4.73828125,114.9375,0.01652418076992035
4.9765625,115.625,0.01657700538635254
5.19921875,116.3125,0.01662983000278473
5.41015625,117.0,0.01668265461921692
5.609375,117.6875,0.01673547923564911
5.80078125,118.375,0.0167883038520813
5.984375,119.0,0.01684112846851349
6.1640625,119.625,0.01689395308494568
6.3359375,120.3125,0.01694677770137787
6.48828125,120.9375,0.01699960231781006
6.6171875,121.5625,0.01705242693424225
6.7265625,122.25,0.01710525155067444
6.82421875,122.875,0.01715807430446148
6.9140625,123.5625,0.01721089705824852
6.99609375,124.25,0.017263716086745262
7.07421875,124.9375,0.017316531389951706
7.14453125,125.625,0.01736934669315815
7.20703125,126.3125,0.017422165721654892
7.2734375,127.0625,0.017474990338087082
7.33984375,127.75,0.017527814954519272
7.40625,128.375,0.017580639570951462
7.48046875,129.125,0.01763346418738365
7.55078125,129.875,0.01768628880381584
7.6171875,130.625,0.017739100381731987
7.671875,131.25,0.017791885882616043
7.71484375,132.0,0.0178446713835001
7.734375,132.75,0.017897455021739006
7.71484375,133.5,0.017950240522623062
7.6640625,134.25,0.018003027886152267
7.58984375,135.125,0.018055839464068413
7.5,135.875,0.01810864731669426
7.390625,136.75,0.018161430954933167
7.2734375,137.5,0.018214210867881775
7.16015625,138.25,0.018266992643475533
7.0546875,139.125,0.01831979490816593
6.9609375,139.875,0.018372610211372375
6.86328125,140.625,0.018425418063998222
6.7578125,141.375,0.018478238955140114
6.65234375,142.25,0.018531054258346558
6.5390625,143.0,0.01858387514948845
6.42578125,143.75,0.018636686727404594
6.3203125,144.625,0.01868949830532074
6.21875,145.375,0.01874230057001114
6.1171875,146.125,0.01879510097205639
6.0234375,147.0,0.018847906962037086
5.9375,147.75,0.018900712952017784
5.8515625,148.5,0.018953517079353333
5.7578125,149.25,0.01900632306933403
5.66015625,150.0,0.019059129059314728
5.546875,150.75,0.019111935049295425
5.4140625,151.625,0.019164741039276123
5.26171875,152.375,0.019217535853385925
5.08984375,153.125,0.019270334392786026
4.91015625,153.875,0.019323140382766724
4.72265625,154.75,0.019375942647457123
4.53125,155.5,0.019428741186857224
4.3359375,156.25,0.01948154717683792
4.14453125,157.0,0.01953435316681862
3.958984375,157.75,0.019587159156799316
3.78515625,158.5,0.019639965146780014
3.62109375,159.25,0.01969277113676071
3.4765625,160.0,0.01974557712674141
3.35546875,160.75,0.019798383116722107
3.2578125,161.5,0.019851189106702805
3.1796875,162.25,0.019903995096683502
3.107421875,163.0,0.0199568010866642
3.041015625,163.75,0.020009607076644897
2.98046875,164.5,0.020062413066625595
2.93359375,165.25,0.020115219056606293
2.896484375,166.0,0.02016802504658699
2.86328125,166.75,0.020220831036567688
2.830078125,167.5,0.020273637026548386
2.787109375,168.25,0.02032645232975483
2.744140625,169.0,0.020379267632961273
2.69921875,169.75,0.02043207734823227
2.654296875,170.5,0.020484890788793564
2.609375,171.25,0.020537706092000008
2.5703125,172.0,0.02059052139520645
2.53125,172.75,0.020643336698412895
2.494140625,173.625,0.02069615200161934
2.4609375,174.375,0.020748967304825783
2.435546875,175.125,0.020801782608032227
2.416015625,175.875,0.02085459791123867
2.40625,176.625,0.020907413214445114
2.40234375,177.375,0.020960228517651558
2.408203125,178.125,0.021013043820858
2.416015625,179.0,0.021065864711999893
2.423828125,179.75,0.021118683740496635
2.431640625,180.5,0.021171502768993378
2.439453125,181.25,0.021224327385425568
2.4453125,182.0,0.021277152001857758
2.447265625,182.875,0.021329976618289948
2.447265625,183.625,0.021382801234722137
2.4453125,184.375,0.021435625851154327
2.439453125,185.25,0.021488450467586517
2.43359375,186.0,0.021541275084018707
2.427734375,186.75,0.021594099700450897
2.423828125,187.5,0.02164691686630249
2.41796875,188.375,0.021699726581573486
2.412109375,189.125,0.021752532571554184
2.412109375,189.875,0.02180534601211548
2.41796875,190.75,0.02185816876590252
2.431640625,191.5,0.02191099151968956
2.44921875,192.25,0.02196381241083145
2.466796875,193.0,0.02201661840081215
2.490234375,193.875,0.022069422528147697
2.517578125,194.625,0.022122226655483246
2.55078125,195.375,0.022175032645463943
2.583984375,196.25,0.02222783863544464
2.6171875,197.0,0.02228064462542534
2.650390625,197.75,0.022333450615406036
2.681640625,198.625,0.022386256605386734
2.716796875,199.375,0.02243906259536743
2.755859375,200.125,0.02249187044799328
2.794921875,201.0,0.022544678300619125
2.833984375,201.75,0.022597484290599823
2.873046875,202.5,0.02265029028058052
2.91015625,203.375,0.022703096270561218
2.9453125,204.125,0.022755902260541916
2.978515625,205.0,0.022808708250522614
3.013671875,205.75,0.02286151424050331
3.056640625,206.625,0.022914312779903412
3.103515625,207.375,0.022967109456658363
3.150390625,208.125,0.02301991917192936
3.1953125,209.0,0.023072723299264908
3.234375,209.75,0.02312551997601986
3.265625,210.625,0.023178335279226303
3.291015625,211.375,0.023231148719787598
3.30859375,212.25,0.0232839472591877
3.322265625,213.0,0.023336751386523247
3.33203125,213.875,0.02338956668972969
3.34375,214.625,0.023442381992936134
3.357421875,215.5,0.023495184257626534
3.376953125,216.25,0.02354797162115574
3.396484375,217.125,0.023600758984684944
3.419921875,217.875,0.02365354634821415
3.439453125,218.75,0.023706337437033653
3.45703125,219.5,0.023759134113788605
3.474609375,220.375,0.023811930790543556
3.490234375,221.125,0.023864727467298508
3.501953125,222.0,0.02391752414405346
3.509765625,222.75,0.02397032640874386
3.51171875,223.625,0.024023132398724556
3.51171875,224.375,0.0240759439766407
3.51171875,225.25,0.024128764867782593
3.513671875,226.0,0.024181554093956947
3.517578125,226.875,0.024234319105744362
3.5234375,227.625,0.02428707480430603
3.533203125,228.5,0.024339843541383743
3.546875,229.25,0.024392612278461456
3.564453125,230.125,0.02444540522992611
3.583984375,230.875,0.024498220533132553
3.6015625,231.75,0.024551035836338997
3.623046875,232.5,0.02460385113954544
3.64453125,233.375,0.024656670168042183
3.669921875,234.125,0.024709485471248627
3.6953125,235.0,0.024762295186519623
3.720703125,235.75,0.024815106764435768
3.7421875,236.625,0.024867922067642212
3.759765625,237.5,0.024920713156461716
3.775390625,238.25,0.024973509833216667
3.78515625,239.125,0.025026315823197365
3.7890625,239.875,0.025079108774662018
3.78515625,240.75,0.025131918489933014
3.77734375,241.5,0.02518472820520401
3.765625,242.375,0.025237541645765305
3.75390625,243.25,0.02529035322368145
3.740234375,244.0,0.025343159213662148
3.728515625,244.875,0.025395965203642845
3.716796875,245.625,0.025448763743042946
3.705078125,246.5,0.025501560419797897
3.69921875,247.25,0.025554364547133446
3.697265625,248.125,0.025607170537114143
3.69921875,249.0,0.02565997652709484
3.703125,249.75,0.02571277506649494
3.70703125,250.625,0.02576558291912079
3.7109375,251.375,0.02581838145852089
3.71484375,252.25,0.025871172547340393
3.716796875,253.125,0.025923974812030792
3.71484375,253.875,0.025976790115237236
3.708984375,254.75,0.02602960541844368
3.697265625,255.5,0.026082413271069527
3.68359375,256.25,0.02613522857427597
3.66796875,257.25,0.026188042014837265
3.650390625,258.0,0.026240848004817963
3.6328125,258.75,0.026293648406863213
3.615234375,259.75,0.026346450671553612
3.599609375,260.5,0.026399265974760056
3.587890625,261.25,0.0264520812779665
3.576171875,262.0,0.026504894718527794
3.56640625,263.0,0.02655770070850849
3.55859375,263.75,0.026610516011714935
3.5546875,264.5,0.02666332945227623
3.5546875,265.5,0.026716137304902077
3.560546875,266.25,0.02676895260810852
3.56640625,267.0,0.026821766048669815
3.57421875,268.0,0.02687458135187626
3.58203125,268.75,0.026927391067147255
3.58984375,269.5,0.026980195194482803
3.6015625,270.5,0.027032997459173203
3.61328125,271.25,0.027085795998573303
3.625,272.0,0.027138592675328255
3.63671875,273.0,0.027191394940018654
3.64453125,273.75,0.027244169265031815
3.654296875,274.5,0.027296943590044975
3.662109375,275.25,0.027349742129445076
3.66796875,276.25,0.027402546256780624
3.671875,277.0,0.02745535597205162
3.671875,277.75,0.027508161962032318
3.671875,278.75,0.02756095863878727
3.671875,279.5,0.027613768354058266
3.671875,280.25,0.027666572481393814
3.673828125,281.25,0.027719387784600258
3.677734375,282.0,0.0277722030878067
3.685546875,282.75,0.027825018391013145
3.697265625,283.75,0.02787783369421959
3.7109375,284.5,0.027930641546845436
3.73046875,285.25,0.02798345685005188
3.75,286.25,0.028036272153258324
3.771484375,287.0,0.02808908000588417
3.7890625,287.75,0.028141895309090614
3.8046875,288.75,0.02819470502436161
3.8203125,289.5,0.028247518464922905
3.8359375,290.5,0.02830033376812935
3.849609375,291.25,0.028353149071335793
3.859375,292.0,0.02840595692396164
3.87109375,293.0,0.028458772227168083
3.8828125,293.75,0.028511587530374527
3.89453125,294.5,0.02856440283358097
3.90625,295.5,0.028617218136787415
3.91796875,296.25,0.02867003343999386
3.931640625,297.0,0.028722848743200302
3.947265625,298.0,0.028775664046406746
3.96484375,298.75,0.02882847934961319
3.984375,299.5,0.028881294652819633
4.0,300.5,0.028934109956026077
4.01953125,301.25,0.028986921533942223
4.04296875,302.0,0.029039723798632622
4.06640625,303.0,0.02909252606332302
4.08984375,303.75,0.029145341366529465
4.11328125,304.5,0.029198145493865013
4.1328125,305.5,0.02925095148384571
4.15625,306.25,0.02930375561118126
4.1796875,307.0,0.029356539249420166
4.19921875,308.0,0.029409317299723625
4.21875,308.75,0.029462095350027084
4.234375,309.75,0.02951488085091114
4.25,310.5,0.0295676589012146
4.26171875,311.25,0.029620427638292313
4.26953125,312.25,0.029673196375370026
4.28125,313.0,0.02972596511244774
4.28515625,313.75,0.02977874130010605
4.29296875,314.75,0.029831528663635254
4.296875,315.5,0.02988431602716446
4.3046875,316.25,0.029937103390693665
4.3125,317.25,0.029989901930093765
4.31640625,318.0,0.03004271537065506
4.32421875,319.0,0.030095521360635757
4.33203125,319.75,0.030148321762681007
4.33984375,320.5,0.030201124027371407
4.34765625,321.5,0.030253930017352104
4.35546875,322.25,0.030306736007332802
4.36328125,323.0,0.030359532684087753
4.37109375,324.0,0.030412327498197556
4.375,324.75,0.030465133488178253
4.37890625,325.5,0.03051791712641716
4.3828125,326.5,0.030570685863494873
4.38671875,327.25,0.03062346950173378
4.3828125,328.25,0.030676256865262985
4.37890625,329.0,0.030729038640856743
4.37109375,329.75,0.030781826004385948
4.36328125,330.75,0.030834613367915154
4.359375,331.5,0.030887387692928314
4.35546875,332.5,0.030940202996134758
4.3515625,333.25,0.030993008986115456
4.34375,334.0,0.031045805662870407
4.33984375,335.0,0.031098615378141403
4.33984375,335.75,0.031151430681347847
4.3359375,336.5,0.03120424598455429
4.33203125,337.5,0.031257059425115585
4.32421875,338.25,0.031309861689805984
4.3203125,339.25,0.031362663954496384
4.31640625,340.0,0.031415458768606186
4.30859375,340.75,0.031468264758586884
4.30078125,341.75,0.03152105212211609
4.29296875,342.5,0.031573839485645294
4.2890625,343.5,0.0316266268491745
4.27734375,344.25,0.031679414212703705
4.26953125,345.0,0.03173220157623291
4.2578125,346.0,0.031784988939762115
4.24609375,346.75,0.03183777630329132
4.23046875,347.75,0.031890563666820526
4.21875,348.5,0.03194335103034973
4.20703125,349.25,0.03199613839387894
4.1953125,350.25,0.03204892575740814
4.18359375,351.0,0.032101720571517944
4.171875,352.0,0.03215452656149864
4.16015625,352.75,0.03220733255147934
4.1484375,353.5,0.03226013854146004
4.1328125,354.5,0.032312944531440735
4.1171875,355.25,0.03236575052142143
4.1015625,356.25,0.03241855651140213
4.08984375,357.0,0.03247133642435074
4.078125,357.75,0.03252410888671875
4.06640625,358.75,0.03257691487669945
4.0546875,359.5,0.032629720866680145
4.046875,360.5,0.03268250823020935
4.0390625,361.25,0.03273529186844826
4.03515625,362.0,0.03278807923197746
4.02734375,363.0,0.03284087032079697
4.0234375,363.75,0.032893676310777664
4.015625,364.75,0.03294648230075836
4.0078125,365.5,0.03299928829073906
4.00390625,366.5,0.03305209428071976
4.0,367.25,0.033104900270700455
3.994140625,368.0,0.03315770626068115
3.98828125,369.0,0.03321051225066185
3.984375,369.75,0.03326331824064255
3.9765625,370.75,0.03331611305475235
3.97265625,371.5,0.03336891904473305
3.96875,372.25,0.033421725034713745
3.96484375,373.25,0.03347453102469444
3.9609375,374.0,0.03352731466293335
3.95703125,375.0,0.03358011692762375
3.953125,375.75,0.033632904291152954
3.951171875,376.75,0.03368567302823067
3.951171875,377.5,0.03373843804001808
3.951171875,378.25,0.0337911881506443
3.94921875,379.25,0.03384393826127052
3.94921875,380.0,0.033896688371896744
3.953125,381.0,0.033949438482522964
3.95703125,381.75,0.034002188593149185
3.9609375,382.75,0.03405500203371048
3.962890625,383.5,0.03410782665014267
3.966796875,384.25,0.03416065126657486
3.970703125,385.25,0.03421346843242645
3.974609375,386.0,0.03426627442240715
3.978515625,387.0,0.03431908041238785
3.978515625,387.75,0.034371886402368546
3.978515625,388.75,0.03442470356822014
3.978515625,389.5,0.03447752818465233
3.978515625,390.25,0.03453035280108452
3.978515625,391.25,0.03458315134048462
3.978515625,392.0,0.034635938704013824
3.978515625,393.0,0.03468872606754303
3.978515625,393.75,0.034741513431072235
3.978515625,394.75,0.03479430079460144
3.978515625,395.5,0.034847088158130646
3.98046875,396.25,0.03489987552165985
3.982421875,397.25,0.034952662885189056
3.986328125,398.0,0.03500545024871826
3.9921875,399.0,0.03505823761224747
3.998046875,399.75,0.03511103615164757
4.00390625,400.75,0.035163842141628265
