U,RF
0.0,0.0
5.8e-05,-4.855205895743897e-39
0.000116,-2.331902474529601e-39
0.000174,2.5642999251317014e-39
0.000232,4.82779096472883e-39
0.00029,-5.463391690859659e-40
0.000348,-1.2739289578505584e-38
0.000406,-1.0988412894994714e-38
0.000464,2.5919252452152833e-38
0.000522,5.679641666973452e-38
0.00058,-1.0420129547678515e-38
0.000638,-1.821106474681542e-37
0.000696,-1.8538512133879025e-37
0.000754,2.8376519799644216e-37
0.000812,8.28719257825556e-37
0.00087,2.69473189346574e-37
0.000928,-2.0400318123572228e-36
0.000986,-3.025824426423255e-36
0.001044,1.8236720980129638e-36
0.0011020000000000001,1.0544487335605344e-35
0.00116,7.783022691358097e-36
0.001218,-2.0381138692110573e-35
0.001276,-4.392663960762187e-35
0.0013340000000000001,-1.440804648486952e-37
0.001392,1.2460135205129862e-34
0.00145,1.4366039548475133e-34
0.001508,-1.6931716213538067e-34
0.0015660000000000001,-5.875386031062036e-34
0.001624,-2.703844086102743e-34
0.001682,1.3484309689865322e-33
0.00174,2.2419667731128105e-33
0.0017980000000000001,-8.716999064198075e-34
0.001856,-7.308909357869839e-33
0.001914,-6.322130005850873e-33
0.001972,1.2868372074570688e-32
0.00203,3.1654054466408596e-32
0.002088,5.009681148841843e-33
0.002146,-8.420620899320239e-32
0.0022040000000000002,-1.0926165228478955e-31
0.002262,9.72658127558304e-32
0.00232,4.1369957658764965e-31
0.002378,2.4387954468494637e-31
0.002436,-8.810111322221145e-31
0.002494,-1.6452669528458726e-30
0.002552,3.25382407643627e-31
0.00261,5.0288211982825655e-30
0.0026680000000000002,5.000289078816153e-30
0.002726,-7.953010082433145e-30
0.002784,-2.263924054363538e-29
0.002842,-6.83397409030279e-30
0.0029,5.637687364186051e-29
0.002958,8.202116259059478e-29
0.003016,-5.266678257640649e-29
0.003074,-2.892324841853974e-28
0.0031320000000000002,-2.071726796124164e-28
0.00319,5.675747192817879e-28
0.003248,1.1968294777867058e-27
0.003306,-3.01075841328473e-29
0.003364,-3.4328518606431255e-27
0.003422,-3.874651769855728e-27
0.00348,4.782680538604919e-27
0.003538,1.6074753690028462e-26
0.0035960000000000002,7.024739181901982e-27
0.003654,-3.736173877468652e-26
0.003712,-6.087971597466037e-26
0.00377,2.586180303266696e-26
0.003828,2.0078534582735173e-25
0.003886,1.691343898638252e-25
0.003944,-3.597683577279874e-25
0.004002,-8.636530426336251e-25
0.00406,-1.1359099175674758e-25
0.004118,2.3242722686266815e-24
0.004176,2.953823939896045e-24
0.004234,-2.7724928205897194e-24
0.004292,-1.133417185573695e-23
0.00435,-6.420774739290656e-24
0.0044080000000000005,2.4476274943212103e-23
0.004466,4.4747752422408223e-23
0.004524,-1.0330937493724364e-23
0.004582,-1.3836546644622122e-22
0.00464,-1.3429212109651412e-22
0.004698,2.234242759355577e-22
0.004756,6.185429953624074e-22
0.004814,1.7094402809107295e-22
0.004872,-1.5593250454990888e-21
0.00493,-2.221973902398069e-21
0.004988,1.5222094519332465e-21
0.005046,7.935452600032254e-21
0.005104,5.500021123808391e-21
0.005162,-1.5818229713814534e-20
0.00522,-3.2601380253882705e-20
0.005278,1.8154957859296355e-21
