JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
98,1.53982,0.90116,2.41401,0.34002,0.10674,0.06834,0.00132,0.14427,28.95288,1.76542,57.82112,58.70383,2.5,119.14761
99,1.11077,0.9763,2.03178,0.36932,0.14158,0.07128,0.0013,0.05135,22.53739,1.73428,44.62649,45.49362,2.5,107.38854
100,1.3897,0.98642,2.16187,0.31096,0.15227,0.06528,0.00147,0.09487,27.29754,2.0059,54.14594,55.14889,2.5,107.68395
101,1.18396,0.98731,1.44743,0.27134,0.10151,0.08523,0.0014,314.61843,22.34526,1.84828,44.11165,45.03579,2.5,110.45882
102,1.18589,1.04068,1.03358,0.39436,0.19001,0.05248,0.00139,310.33938,12.9472,1.80031,24.78691,25.68706,2.5,111.17279
103,1.50525,0.94472,1.70291,0.28451,0.1634,0.04235,0.00148,13.60053,16.74988,2.03253,32.37769,33.39396,2.5,113.52707
104,0.9226,1.09146,1.9453,0.3121,0.10472,0.03646,0.00132,15.21367,20.40845,1.65557,40.3277,41.15548,2.5,110.12111
105,1.24525,1.02257,2.53441,0.29617,0.19533,0.0719,0.00133,0.5173,22.26736,2.13799,43.6364,44.7054,2.5,115.1903
106,1.4984,1.01215,2.54721,0.29036,0.19435,0.06827,0.00145,8.64017,27.2507,2.31516,53.72218,54.87976,2.5,111.21727
107,1.52704,1.09269,2.01441,0.26407,0.14639,0.07392,0.00136,10.20848,19.63029,2.4092,37.91277,39.11737,2.5,112.51011
108,1.55961,0.92776,2.47295,0.28715,0.13161,0.04209,0.00138,4.4591,28.00926,1.92774,55.70331,56.66718,2.5,111.56055
109,1.30257,0.97567,1.88643,0.28793,0.10607,0.04239,0.00135,319.73124,16.19083,1.7603,31.51511,32.39527,2.5,119.40669
110,1.16841,0.96665,1.40713,0.34674,0.18562,0.08481,0.00134,725.38825,1.82658,1.94971,1.70119,2.67604,2.5,143.66057
111,1.36556,1.0682,2.54332,0.37111,0.13024,0.08798,0.00133,0.16725,22.32621,1.78896,44.12638,45.02086,2.5,104.11562
