,E,SIGMA_Y,r2,MAPE,ZERO,WINDOW_LENGTH,MULTI
53,207010.89118699517,403.71338338803554,0.982,47.68595366058099,22,53,5.1009124383747814e-05
47,220121.33265097294,396.072466708401,0.992,30.30417532070925,20,47,8.264841878539089e-05
41,225437.85463706232,392.25200836858374,0.995,22.435309648330474,19,41,0.00011306438814912527
35,228370.79581896894,310.4675912005687,0.999,6.795320780870895,13,35,0.0004735210098438217
77,228370.79581896894,310.4675912005687,0.999,6.795320780870895,13,77,0.0004735210098438217
89,228370.79581896894,310.4675912005687,0.999,6.795320780870895,13,89,0.0004735210098438217
23,224679.93645349776,224.67993645349782,1.0,2.842170943040401e-14,10,23,156597748086.4836
17,224679.93645349788,134.8079618720987,1.0,1.4210854715202004e-14,6,17,521992493621.61206
29,224679.93645349788,134.8079618720987,1.0,1.4210854715202004e-14,6,29,521992493621.61206
