TRUE_STRAIN,TRUE_STRESS,PRED_TRUE_STRESS
0.0,0.0,12.856007216109333
0.01,22.467993645349782,33.55709633480885
0.02,44.935987290699565,54.25818545350837
0.030000000000000002,67.40398093604935,74.95927457220789
0.04,89.87197458139913,95.6603636909074
0.05,112.33996822674891,116.36145280960692
0.060000000000000005,134.8079618720987,137.06254192830644
0.06999999999999999,157.27595551744847,157.76363104700596
0.08,179.74394916279826,178.46472016570547
0.09000000000000001,202.21194280814805,199.16580928440501
0.1,224.67993645349782,219.8668984031045
0.11,248.7133307989527,240.56798752180404
0.12000000000000001,279.5070299027059,261.26907664050356
0.13,310.4675912005687,281.9701657592031
0.13999999999999999,332.74002656390013,302.6712548779026
0.15,348.93151252167206,323.37234399660207
0.16,361.8965044500066,344.0734331153016
0.17,374.0821319575742,364.77452223400115
0.18000000000000002,384.48856715917253,385.4756113527007
0.19,392.25200836858374,406.1767004714002
0.2,396.072466708401,426.87778959009967
0.21000000000000002,399.8929250482183,447.57887870879927
