DISPLACEMENT,FORCE,STRAIN,STRESS,TRUE_STRAIN,TRUE_STRESS
0.0,0.0,0.0,0.0,0.0,0.0
0.001875,0.415090433,0.00015,33.03184712105259,0.00014998875112496793,33.03680189812076
0.003541667,0.860316144,0.00028333336,68.46178346967942,0.00028329322868381906,68.48118097682148
0.007916668,1.293035514,0.00063333344,102.89649682323483,0.000633132969015681,102.96166461553183
0.011666666,1.689903209,0.0009333332799999999,134.47822452960315,0.0009328979953168473,134.60373753199192
0.01325,2.287079452,0.00106,182.0000000148516,0.0010594385966900424,182.19292001486735
0.014375,2.788758294,0.00115,221.92233378931056,0.001149339256521468,222.17754447316827
0.01625,3.228981469,0.0013,256.9541809717398,0.0012991557316201288,257.28822140700305
0.017916667,3.674207179,0.00143333336,292.3841172407892,0.0014323071182536008,292.8032011499646
0.022291668,4.10692655,0.00178333344,326.81883067392204,0.0017817451888946683,327.40165762348454
0.026041666,4.518866873,0.0020833332800000003,359.60000000608306,0.002081166150602213,360.3491666535838
0.033125,4.848135811,0.00265,385.8023895507424,0.0026464949409055775,386.8247658830519
0.042499999,5.109935032,0.0033999999199999997,406.63570961062123,0.0033942329882866887,408.0182709907665
0.055208335,5.305033939,0.0044166668,422.16118733105924,0.00440694195095333,424.02573263139294
0.072083338,5.450107485,0.0057666670399999995,433.70577330994394,0.0057501034628741985,436.2068100979481
0.087708338,5.56349847,0.00701666704,442.7291411923484,0.0069921647811838844,445.83562416500024
0.105208335,5.658546655,0.0084166668,450.2928354296799,0.008381444160135696,454.0828001879188
0.123541666,5.7410885,0.00988333328,456.86130675151736,0.00983481257722847,461.3766193088789
0.141666675,5.811124005,0.011333333999999999,462.434555157861,0.011269592917426513,467.6754804246064
0.160625,5.87198786,0.012849999999999999,467.2779468473002,0.012768139277678357,473.282468464288
0.180833325,5.926182335,0.014466666,471.59060613956024,0.01436302217860756,478.4129499273188
0.19875,5.972872505,0.0159,475.3060918142107,0.01577491911536224,482.86345867405663
0.215833325,6.011225448,0.017266666,478.35812204449655,0.01711929115203758,486.61777196622614
0.231874988,6.041240664,0.01854999904,480.746657041682,0.018380046338913183,489.6645070682884
0.248333338,6.069588035,0.019866667039999997,483.00246915083693,0.01967190016352521,492.5981183849545
0.264583338,6.095434638,0.02116666704,485.05927646562884,0.020945764881057344,495.3263646652401
0.281041675,6.117112128,0.022483334,486.78431630929134,0.022234309535481517,497.72885067883476
0.296666675,6.137122272,0.023733334,488.3766729740817,0.023456076687552563,499.96747967158444
0.312916663,6.154631149,0.025033333039999998,489.76998513535074,0.02472513210063099,502.03056028623985
0.329583338,6.168805334,0.02636666704,490.8979309388752,0.026025058187892785,503.84127323456545
0.34666665,6.182145097,0.027733332000000003,491.9594755494374,0.027355728712501748,505.6031510153958
0.362916663,6.194651437,0.029033333039999998,492.9546984649313,0.02861984995212905,507.2668163990965
0.378958338,6.206324355,0.030316667040000002,493.8835997649345,0.029866198718561127,508.8565044155246
0.397916663,6.214661581,0.03183333304,494.5470551297216,0.031337155024756466,510.2901362396173
0.414166675,6.223833231,0.033133334,495.2769118466261,0.032596256348273976,511.6870871893289
0.43125,6.230503112,0.0345,495.8076841121184,0.033918218203460644,512.9130492139865
0.448750013,6.234671726,0.03590000104,496.13941187408943,0.03527061508587711,513.9508172763542
0.467291675,6.238840839,0.037383334000000004,496.4711793452188,0.03670151764320943,515.030927264055
0.483333338,6.243009453,0.03866666704,496.8029071071898,0.0379378396998273,516.0126197008076
0.50166665,6.248011989,0.040133332,497.20099627338743,0.0393489087820243,517.155328927558
0.518333313,6.251347179,0.041466665039999996,497.4664022607127,0.04062997452399557,518.0946749319115
0.53541665,6.253014525,0.042833332,497.59908543958505,0.041941366509603485,518.9129122691152
0.55395835,6.253014525,0.044316668000000004,497.59908543958505,,
0.570833313,6.252180602,0.04566666504,497.53272395578097,,
0.589375013,6.250513257,0.04715000103999999,497.4000408564862,,
0.606458363,6.246344643,0.04851666904,497.06831309451513,,
0.624791675,6.243843375,0.049983334,496.8692685114164,,
0.64270835,6.24217553,0.051416668000000006,496.73654562338584,,
0.660624975,6.238006917,0.052849997999999995,496.40481794099225,,
0.677291688,6.237172994,0.054183335039999996,496.3384564571882,,
0.696250013,6.230503112,0.05570000104,495.8076841121184,,
0.715208338,6.228001844,0.05721666704,495.60863952901957,,
0.731458363,6.222165386,0.05851666904,495.1441889585955,,
0.748541638,6.215495504,0.059883331039999994,494.61341661352566,,
0.766875025,6.211326891,0.061350002,494.2816889311321,,
0.784583325,6.202155241,0.062766666,493.5518322142277,,
0.8025,6.199653973,0.0642,493.35278763112893,,
0.821250013,6.191316747,0.06570000104,492.6893322663418,,
0.83770835,6.187147633,0.067016668,492.357564715635,,
0.856666675,6.176309138,0.068533334,491.49506468817157,,
0.873541638,6.167971412,0.06988333104,490.8315695346487,,
0.893124988,6.157132417,0.07144999903999999,489.96902971844946,,
0.91041665,6.147961267,0.072833332,489.23921279028093,,
0.92895835,6.138790118,0.074316668,488.5093959416897,,
0.947708363,6.128785046,0.07581666904,487.7132176092946,,
0.964583325,6.117946051,0.077166666,486.8506777930954,,
0.983541663,6.106273633,0.07868333304,485.921816281828,,
1.002291675,6.095434638,0.080183334,485.05927646562884,,
1.020416613,6.082094376,0.08163332904000001,483.99769214590833,,
1.038750038,6.070421958,0.08310000304000001,483.06883063464096,,
1.057708375,6.057915618,0.08461667,482.073607719147,,
1.0752083,6.041240664,0.08601666399999999,480.746657041682,,
1.093749988,6.029567747,0.08749999904,479.8177558212563,,
