TRUE_STRAIN,TRUE_STRESS,PLASTIC_STRAIN
0.0028,391.1756348342469,0.0
0.0029000000000000002,394.0099837324932,8.182921370821069e-05
0.003,396.8443326307394,0.00016365842741642139
0.0031000000000000003,399.6786815289857,0.0002454876411246321
0.0032,402.51303042723197,0.00032731685483284234
0.0033,405.3473793254782,0.00040914606854105303
0.0034000000000000002,408.10942770230463,0.0004914387951655171
0.0035,409.6900853473674,0.0005813053241991548
0.0036000000000000003,411.2707429924302,0.0006711718532327929
0.0037,412.85140063749304,0.0007610383822664302
0.0038,414.43205828255583,0.0008509049113000679
0.0039000000000000003,416.0127159276186,0.0009407714403337061
0.004,417.5933735726814,0.0010306379693673438
0.0041,419.17403121774424,0.0011205044984009815
0.004200000000000001,420.75468886280703,0.0012103710274346197
0.0043,422.3353465078698,0.001300237556468257
0.0044,423.9160041529326,0.0013901040855018951
0.0045000000000000005,424.8696723171742,0.0014839901944363179
0.0046,425.77656827558616,0.0015781761562777166
0.0047,426.6834642339981,0.0016723621181191162
0.0048000000000000004,427.59036019241006,0.0017665480799605162
0.0049,428.497256150822,0.001860734041801915
0.005,429.40415210923396,0.0019549200036433146
0.0051,430.3110480676459,0.0020491059654847146
0.005200000000000001,431.21794402605786,0.002143291927326114
0.0053,432.12483998446976,0.0022374778891675134
0.0054,433.0317359428817,0.0023316638510089134
0.0055000000000000005,433.93863190129366,0.002425849812850313
0.0056,434.8455278597056,0.0025200357746917117
0.0057,435.75242381811756,0.0026142217365331117
0.0058000000000000005,436.59362230398955,0.0027088288796673905
0.0059,437.36885086357114,0.0028038589507739624
0.006,438.1440794231527,0.0028988890218805356
0.0061,438.91930798273427,0.002993919092987108
0.006200000000000001,439.69453654231586,0.0030889491640936806
0.0063,440.46976510189745,0.0031839792352002525
0.0064,441.244993661479,0.0032790093063068257
0.006500000000000001,442.0202222210606,0.003374039377413398
0.0066,442.79545078064217,0.00346906944851997
0.0067,443.57067934022376,0.0035640995196265426
0.0068000000000000005,444.3459078998053,0.0036591295907331157
0.006900000000000001,445.1211364593869,0.003754159661839688
0.007,445.8821363566685,0.0038492809517732826
0.0071,446.47576612961893,0.003945475238317399
0.007200000000000001,447.06939590256934,0.004041669524861515
0.0073,447.66302567551975,0.0041378638114056305
0.0074,448.25665544847016,0.004234058097949748
0.007500000000000001,448.85028522142056,0.0043302523844938635
0.0076,449.44391499437097,0.004426446671037979
0.0077,450.03754476732144,0.004522640957582095
0.0078000000000000005,450.63117454027184,0.004618835244126212
0.0079,451.22480431322225,0.004715029530670328
0.008,451.81843408617266,0.004811223817214444
0.0081,452.41206385912307,0.004907418103758559
0.0082,453.0056936320735,0.005003612390302677
0.0083,453.5993234050239,0.005099806676846792
0.008400000000000001,454.17592381577253,0.005196110137283173
0.0085,454.6777799890029,0.005292892777106158
0.0086,455.17963616223324,0.005389675416929141
0.008700000000000001,455.68149233546353,0.005486458056752128
0.0088,456.1833485086939,0.005583240696575112
0.0089,456.68520468192423,0.005680023336398096
0.009000000000000001,457.1870608551546,0.005776805976221083
0.0091,457.6889170283849,0.005873588616044067
0.0092,458.19077320161523,0.005970371255867052
0.009300000000000001,458.6926293748456,0.006067153895690038
0.0094,459.1944855480759,0.006163936535513023
0.0095,459.6963417213062,0.0062607191753360075
0.009600000000000001,460.1981978945366,0.006357501815158993
0.0097,460.7000540677669,0.006454284454981977
0.0098,461.2019102409972,0.006551067094804962
0.0099,461.66280006493344,0.0066481123666485295
0.01,462.1018122913526,0.00674529789403696
0.010100000000000001,462.54082451777174,0.006842483421425392
0.0102,462.9798367441909,0.006939668948813822
0.0103,463.41884897061,0.007036854476202253
0.010400000000000001,463.85786119702914,0.0071340400035906845
0.0105,464.2968734234483,0.007231225530979116
0.0106,464.73588564986744,0.007328411058367545
0.010700000000000001,465.17489787628654,0.007425596585755978
0.0108,465.6139101027057,0.0075227821131444075
0.0109,466.05292232912484,0.007619967640532839
0.011000000000000001,466.491934555544,0.00771715316792127
0.0111,466.9309467819631,0.007814338695309701
0.0112,467.36995900838224,0.007911524222698132
0.011300000000000001,467.7892521121787,0.008008836167819843
0.0114,468.16341391246755,0.00810643744615371
0.0115,468.5375757127564,0.008204038724487578
0.011600000000000001,468.9117375130453,0.008301640002821447
0.0117,469.28589931333414,0.008399241281155314
0.0118,469.66006111362304,0.008496842559489183
0.0119,470.0342229139119,0.008594443837823052
0.012,470.40838471420074,0.00869204511615692
0.012100000000000001,470.78254651448964,0.008789646394490789
0.0122,471.1567083147785,0.008887247672824656
0.0123,471.5308701150674,0.008984848951158524
0.012400000000000001,471.90503191535623,0.009082450229492393
0.0125,472.2791937156451,0.00918005150782626
0.0126,472.653355515934,0.009277652786160129
0.012700000000000001,473.0275173162228,0.009375254064493998
0.0128,473.3849592773594,0.009472962532392373
0.0129,473.7066431740293,0.009570900242409825
0.013000000000000001,474.0283270706992,0.009668837952427279
0.0131,474.3500109673691,0.009766775662444731
0.0132,474.67169486403895,0.009864713372462182
0.013300000000000001,474.9933787607089,0.009962651082479635
0.0134,475.31506265737875,0.010060588792497088
0.0135,475.6367465540486,0.01015852650251454
0.013600000000000001,475.95843045071854,0.010256464212531992
0.0137,476.2801143473884,0.010354401922549444
0.013800000000000002,476.6017982440583,0.010452339632566898
0.013900000000000001,476.9234821407282,0.010550277342584348
0.014,477.24516603739806,0.0106482150526018
0.014100000000000001,477.56684993406793,0.010746152762619254
0.0142,477.88853383073786,0.010844090472636705
0.0143,478.2102177274077,0.010942028182654157
0.014400000000000001,478.5295095098621,0.011039981228326378
