TRUE_STRAIN,TRUE_STRESS
0.0,0.0
0.0001,22.026186397535298
0.0002,46.33431219775273
0.00030000000000000003,70.12781367348653
0.0004,79.98389337615318
0.0005,89.83997307881982
0.0006000000000000001,99.69605278148647
0.0007,110.01989784647358
0.0008,120.57552313301721
0.0009000000000000001,131.13114841956087
0.001,159.83934974799135
0.0011,200.2331933776154
0.0012000000000000001,234.05029075378422
0.0013000000000000002,257.513410007489
0.0014,284.18604229537056
0.0015,299.50558826643777
0.0016,309.40675799589707
0.0017000000000000001,319.3079277253563
0.0018000000000000002,329.41036987364134
0.0019,340.414111509566
0.002,351.4178531454907
0.0021000000000000003,361.2311975304057
0.0022,365.91441899083424
0.0023,370.59764045126275
0.0024000000000000002,375.2808619116913
0.0025,379.96408337211983
0.0026000000000000003,384.64730483254834
0.0027,388.34128593600065
0.0028,391.1756348342469
0.0029000000000000002,394.0099837324932
0.003,396.8443326307394
0.0031000000000000003,399.6786815289857
0.0032,402.51303042723197
0.0033,405.3473793254782
0.0034000000000000002,408.10942770230463
0.0035,409.6900853473674
0.0036000000000000003,411.2707429924302
0.0037,412.85140063749304
0.0038,414.43205828255583
0.0039000000000000003,416.0127159276186
0.004,417.5933735726814
0.0041,419.17403121774424
0.004200000000000001,420.75468886280703
0.0043,422.3353465078698
0.0044,423.9160041529326
0.0045000000000000005,424.8696723171742
0.0046,425.77656827558616
0.0047,426.6834642339981
0.0048000000000000004,427.59036019241006
0.0049,428.497256150822
0.005,429.40415210923396
0.0051,430.3110480676459
0.005200000000000001,431.21794402605786
0.0053,432.12483998446976
0.0054,433.0317359428817
0.0055000000000000005,433.93863190129366
0.0056,434.8455278597056
0.0057,435.75242381811756
0.0058000000000000005,436.59362230398955
0.0059,437.36885086357114
0.006,438.1440794231527
0.0061,438.91930798273427
0.006200000000000001,439.69453654231586
0.0063,440.46976510189745
0.0064,441.244993661479
0.006500000000000001,442.0202222210606
0.0066,442.79545078064217
0.0067,443.57067934022376
0.0068000000000000005,444.3459078998053
0.006900000000000001,445.1211364593869
0.007,445.8821363566685
0.0071,446.47576612961893
0.007200000000000001,447.06939590256934
0.0073,447.66302567551975
0.0074,448.25665544847016
0.007500000000000001,448.85028522142056
0.0076,449.44391499437097
0.0077,450.03754476732144
0.0078000000000000005,450.63117454027184
0.0079,451.22480431322225
0.008,451.81843408617266
0.0081,452.41206385912307
0.0082,453.0056936320735
0.0083,453.5993234050239
0.008400000000000001,454.17592381577253
0.0085,454.6777799890029
0.0086,455.17963616223324
0.008700000000000001,455.68149233546353
0.0088,456.1833485086939
0.0089,456.68520468192423
0.009000000000000001,457.1870608551546
0.0091,457.6889170283849
0.0092,458.19077320161523
0.009300000000000001,458.6926293748456
0.0094,459.1944855480759
0.0095,459.6963417213062
0.009600000000000001,460.1981978945366
0.0097,460.7000540677669
0.0098,461.2019102409972
0.0099,461.66280006493344
0.01,462.1018122913526
0.010100000000000001,462.54082451777174
0.0102,462.9798367441909
0.0103,463.41884897061
0.010400000000000001,463.85786119702914
0.0105,464.2968734234483
0.0106,464.73588564986744
0.010700000000000001,465.17489787628654
0.0108,465.6139101027057
0.0109,466.05292232912484
0.011000000000000001,466.491934555544
0.0111,466.9309467819631
0.0112,467.36995900838224
0.011300000000000001,467.7892521121787
0.0114,468.16341391246755
0.0115,468.5375757127564
0.011600000000000001,468.9117375130453
0.0117,469.28589931333414
0.0118,469.66006111362304
0.0119,470.0342229139119
0.012,470.40838471420074
0.012100000000000001,470.78254651448964
0.0122,471.1567083147785
0.0123,471.5308701150674
0.012400000000000001,471.90503191535623
0.0125,472.2791937156451
0.0126,472.653355515934
0.012700000000000001,473.0275173162228
0.0128,473.3849592773594
0.0129,473.7066431740293
0.013000000000000001,474.0283270706992
0.0131,474.3500109673691
0.0132,474.67169486403895
0.013300000000000001,474.9933787607089
0.0134,475.31506265737875
0.0135,475.6367465540486
0.013600000000000001,475.95843045071854
0.0137,476.2801143473884
0.013800000000000002,476.6017982440583
0.013900000000000001,476.9234821407282
0.014,477.24516603739806
0.014100000000000001,477.56684993406793
0.0142,477.88853383073786
0.0143,478.2102177274077
0.014400000000000001,478.5295095098621
0.0145,478.84472435528613
0.0146,479.1599392007102
0.014700000000000001,479.4751540461342
0.0148,479.7903688915582
0.0149,480.1055837369823
0.015000000000000001,480.4207985824063
0.0151,480.73601342783036
0.0152,481.05122827325437
0.015300000000000001,481.3664431186784
0.0154,481.68165796410244
0.0155,481.99687280952645
0.015600000000000001,482.31208765495046
0.015700000000000002,482.6273025003745
0.0158,482.9334999245484
0.0159,483.21276140795845
0.016,483.4920228913685
0.0161,483.7712843747786
0.0162,484.0505458581886
0.016300000000000002,484.32980734159867
0.0164,484.60906882500876
0.0165,484.8883303084188
0.0166,485.16759179182884
0.0167,485.4468532752389
0.016800000000000002,485.726114758649
0.016900000000000002,486.005376242059
0.017,486.28463772546905
0.0171,486.5638992088791
0.0172,486.81281259163376
0.0173,487.05447212504504
0.017400000000000002,487.2961316584564
0.0175,487.53779119186765
0.0176,487.77945072527893
0.0177,488.0211102586902
0.0178,488.2627697921015
0.0179,488.50442932551283
0.018000000000000002,488.7460888589241
0.0181,488.9877483923354
0.0182,489.22940792574667
0.0183,489.471067459158
0.0184,489.7098189177082
0.018500000000000003,489.9369043093195
0.018600000000000002,490.16398970093087
0.0187,490.39107509254217
0.0188,490.6181604841535
0.0189,490.8452458757648
0.019,491.0723312673761
0.019100000000000002,491.29941665898747
0.019200000000000002,491.52650205059876
0.0193,491.7535874422101
0.0194,491.9806728338214
