TRUE_STRAIN,TRUE_STRESS,PRED_TRUE_STRESS
0.0,0.0,-5.22978234276971
0.01,22.026186397535298,13.84947844939692
0.02,46.33431219775273,32.92873924156355
0.030000000000000002,70.12781367348653,52.00800003373018
0.04,79.98389337615318,71.0872608258968
0.05,89.83997307881982,90.16652161806343
0.060000000000000005,99.69605278148647,109.24578241023006
0.06999999999999999,110.01989784647358,128.32504320239667
0.08,120.57552313301721,147.40430399456332
0.09000000000000001,131.13114841956087,166.48356478672994
0.1,159.83934974799135,185.56282557889656
0.11,200.2331933776154,204.6420863710632
0.12000000000000001,234.05029075378422,223.72134716322984
0.13,257.513410007489,242.80060795539646
0.13999999999999999,284.18604229537056,261.879868747563
0.15,299.50558826643777,280.9591295397297
0.16,309.40675799589707,300.0383903318964
0.17,319.3079277253563,319.11765112406295
0.18000000000000002,329.41036987364134,338.1969119162296
