TRUE_STRAIN,TRUE_STRESS,PRED_TRUE_STRESS
0.0,0.0,71.35981562526638
0.01,22.026186397535298,82.24255836499212
0.02,46.33431219775273,93.12530110471786
0.030000000000000002,70.12781367348653,104.00804384444359
0.04,79.98389337615318,114.89078658416933
0.05,89.83997307881982,125.77352932389508
0.060000000000000005,99.69605278148647,136.6562720636208
0.06999999999999999,110.01989784647358,147.53901480334656
0.08,120.57552313301721,158.4217575430723
0.09000000000000001,131.13114841956087,169.30450028279802
0.1,159.83934974799135,180.18724302252377
0.11,200.2331933776154,191.06998576224953
0.12000000000000001,234.05029075378422,201.95272850197526
0.13,257.513410007489,212.835471241701
0.13999999999999999,284.18604229537056,223.71821398142671
0.15,299.50558826643777,234.60095672115247
0.16,309.40675799589707,245.4836994608782
0.17,319.3079277253563,256.36644220060396
0.18000000000000002,329.41036987364134,267.24918494032966
0.19,340.414111509566,278.1319276800554
0.2,351.4178531454907,289.01467041978117
0.21000000000000002,361.2311975304057,299.8974131595069
0.22,365.91441899083424,310.7801558992327
0.22999999999999998,370.59764045126275,321.6628986389584
0.24000000000000002,375.2808619116913,332.54564137868414
0.25,379.96408337211983,343.42838411840984
0.26,384.64730483254834,354.3111268581356
0.27,388.34128593600065,365.19386959786135
0.27999999999999997,391.1756348342469,376.07661233758705
0.29000000000000004,394.0099837324932,386.9593550773128
0.3,396.8443326307394,397.84209781703856
0.31000000000000005,399.6786815289857,408.7248405567643
0.32,402.51303042723197,419.60758329649
0.33,405.3473793254782,430.4903260362158
0.34,408.10942770230463,441.37306877594153
0.35000000000000003,409.6900853473674,452.25581151566723
0.36000000000000004,411.2707429924302,463.138554255393
0.37,412.85140063749304,474.02129699511875
0.38,414.43205828255583,484.90403973484445
0.39,416.0127159276186,495.7867824745702
